batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-02-B001","R3-02-000001","2026-04-20","workspace-head","easy",200000,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,67,139,150,""
"R3-02-B001","R3-02-000002","2026-04-20","workspace-head","easy",200001,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,66,149,146,""
"R3-02-B001","R3-02-000003","2026-04-20","workspace-head","easy",200002,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,78,115,150,""
"R3-02-B001","R3-02-000004","2026-04-20","workspace-head","easy",200003,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,78,136,147,""
"R3-02-B001","R3-02-000005","2026-04-20","workspace-head","easy",200004,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,88,142,150,""
"R3-02-B001","R3-02-000006","2026-04-20","workspace-head","easy",200005,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,70,112,150,""
"R3-02-B001","R3-02-000007","2026-04-20","workspace-head","easy",200006,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,68,122,150,""
"R3-02-B001","R3-02-000008","2026-04-20","workspace-head","easy",200007,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,65,129,150,""
"R3-02-B001","R3-02-000009","2026-04-20","workspace-head","easy",200008,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,86,146,150,""
"R3-02-B001","R3-02-000010","2026-04-20","workspace-head","easy",200009,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,68,115,150,""
"R3-02-B001","R3-02-000011","2026-04-20","workspace-head","easy",200010,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,62,140,150,""
"R3-02-B001","R3-02-000012","2026-04-20","workspace-head","easy",200011,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,62,142,147,""
"R3-02-B001","R3-02-000013","2026-04-20","workspace-head","easy",200012,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,72,116,150,""
"R3-02-B001","R3-02-000014","2026-04-20","workspace-head","easy",200013,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,78,118,150,""
"R3-02-B001","R3-02-000015","2026-04-20","workspace-head","easy",200014,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,64,132,150,""
"R3-02-B001","R3-02-000016","2026-04-20","workspace-head","easy",200015,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,64,146,144,""
"R3-02-B001","R3-02-000017","2026-04-20","workspace-head","easy",200016,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,70,119,149,""
"R3-02-B001","R3-02-000018","2026-04-20","workspace-head","easy",200017,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,75,139,150,""
"R3-02-B001","R3-02-000019","2026-04-20","workspace-head","easy",200018,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,80,145,150,""
"R3-02-B001","R3-02-000020","2026-04-20","workspace-head","easy",200019,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,58,115,147,""
"R3-02-B001","R3-02-000021","2026-04-20","workspace-head","easy",200020,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,68,121,150,""
"R3-02-B001","R3-02-000022","2026-04-20","workspace-head","easy",200021,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,73,142,150,""
"R3-02-B001","R3-02-000023","2026-04-20","workspace-head","easy",200022,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,80,156,150,""
"R3-02-B001","R3-02-000024","2026-04-20","workspace-head","easy",200023,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,55,111,150,""
"R3-02-B001","R3-02-000025","2026-04-20","workspace-head","easy",200024,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,68,142,150,""
"R3-02-B001","R3-02-000026","2026-04-20","workspace-head","easy",200025,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,72,145,150,""
"R3-02-B001","R3-02-000027","2026-04-20","workspace-head","easy",200026,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,75,126,150,""
"R3-02-B001","R3-02-000028","2026-04-20","workspace-head","easy",200027,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,76,121,146,""
"R3-02-B001","R3-02-000029","2026-04-20","workspace-head","easy",200028,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,64,146,150,""
"R3-02-B001","R3-02-000030","2026-04-20","workspace-head","easy",200029,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,69,116,150,""
"R3-02-B001","R3-02-000031","2026-04-20","workspace-head","easy",200030,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,74,122,150,""
"R3-02-B001","R3-02-000032","2026-04-20","workspace-head","easy",200031,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,64,138,141,""
"R3-02-B001","R3-02-000033","2026-04-20","workspace-head","easy",200032,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,82,157,150,""
"R3-02-B001","R3-02-000034","2026-04-20","workspace-head","easy",200033,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,67,119,150,""
"R3-02-B001","R3-02-000035","2026-04-20","workspace-head","easy",200034,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,70,143,150,""
"R3-02-B001","R3-02-000036","2026-04-20","workspace-head","easy",200035,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,73,146,130,""
"R3-02-B001","R3-02-000037","2026-04-20","workspace-head","easy",200036,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,83,119,150,""
"R3-02-B001","R3-02-000038","2026-04-20","workspace-head","easy",200037,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,64,122,144,""
"R3-02-B001","R3-02-000039","2026-04-20","workspace-head","easy",200038,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,56,139,150,""
"R3-02-B001","R3-02-000040","2026-04-20","workspace-head","easy",200039,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,58,159,128,""
"R3-02-B001","R3-02-000041","2026-04-20","workspace-head","easy",200040,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,76,123,150,""
"R3-02-B001","R3-02-000042","2026-04-20","workspace-head","easy",200041,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,86,143,150,""
"R3-02-B001","R3-02-000043","2026-04-20","workspace-head","easy",200042,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,68,150,150,""
"R3-02-B001","R3-02-000044","2026-04-20","workspace-head","easy",200043,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,68,119,141,""
"R3-02-B001","R3-02-000045","2026-04-20","workspace-head","easy",200044,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,79,126,150,""
"R3-02-B001","R3-02-000046","2026-04-20","workspace-head","easy",200045,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,81,149,150,""
"R3-02-B001","R3-02-000047","2026-04-20","workspace-head","easy",200046,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,70,105,146,""
"R3-02-B001","R3-02-000048","2026-04-20","workspace-head","easy",200047,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,52,111,137,""
"R3-02-B001","R3-02-000049","2026-04-20","workspace-head","easy",200048,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,70,139,150,""
"R3-02-B001","R3-02-000050","2026-04-20","workspace-head","easy",200049,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,72,148,150,""
"R3-02-B001","R3-02-000051","2026-04-20","workspace-head","easy",200050,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,75,122,150,""
"R3-02-B001","R3-02-000052","2026-04-20","workspace-head","easy",200051,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,51,132,148,""
"R3-02-B001","R3-02-000053","2026-04-20","workspace-head","easy",200052,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,62,150,150,""
"R3-02-B001","R3-02-000054","2026-04-20","workspace-head","easy",200053,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,75,115,150,""
"R3-02-B001","R3-02-000055","2026-04-20","workspace-head","easy",200054,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,73,126,150,""
