batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04B-B003-R11","R3-04-R11-000001","2026-04-20","workspace-head","easy",730000,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,72,111,150,""
"R3-04B-B003-R11","R3-04-R11-000002","2026-04-20","workspace-head","easy",730001,"timeout","attrition","",24,517.31,0.1409,0.1472,0.1438,45,108,94,""
"R3-04B-B003-R11","R3-04-R11-000003","2026-04-20","workspace-head","easy",730002,"timeout","attrition","",24,510.78,0.0728,0.1288,0.0719,33,140,112,""
"R3-04B-B003-R11","R3-04-R11-000004","2026-04-20","workspace-head","easy",730003,"timeout","attrition","",24,534.88,0.6997,0.1360,0.1525,28,103,4,""
"R3-04B-B003-R11","R3-04-R11-000005","2026-04-20","workspace-head","easy",730004,"timeout","attrition","",24,573.70,0.1863,0.1108,0.0795,12,119,72,""
"R3-04B-B003-R11","R3-04-R11-000006","2026-04-20","workspace-head","easy",730005,"timeout","attrition","",24,491.20,0.4011,0.1103,0.1394,18,133,15,""
"R3-04B-B003-R11","R3-04-R11-000007","2026-04-20","workspace-head","easy",730006,"victory","energyliberation","energyliberation",7,143.70,0.1825,0.0573,0.1822,48,85,80,""
"R3-04B-B003-R11","R3-04-R11-000008","2026-04-20","workspace-head","easy",730007,"timeout","attrition","",24,512.20,0.5960,0.0791,0.1525,23,105,2,""
"R3-04B-B003-R11","R3-04-R11-000009","2026-04-20","workspace-head","easy",730008,"defeat","military_collapse","",11,243.24,0.2442,0.0544,0.0489,10,120,72,""
"R3-04B-B003-R11","R3-04-R11-000010","2026-04-20","workspace-head","easy",730009,"timeout","attrition","",24,512.36,0.1247,0.1585,0.1518,64,95,98,""
"R3-04B-B003-R11","R3-04-R11-000011","2026-04-20","workspace-head","easy",730010,"defeat","military_collapse","",12,304.50,0.1645,0.0605,0.0579,10,111,75,""
"R3-04B-B003-R11","R3-04-R11-000012","2026-04-20","workspace-head","easy",730011,"defeat","military_collapse","",17,432.04,0.1983,0.0557,0.2316,11,114,69,""
"R3-04B-B003-R11","R3-04-R11-000013","2026-04-20","workspace-head","easy",730012,"victory","energyliberation","energyliberation",8,182.82,0.1843,0.0316,0.0840,58,122,81,""
"R3-04B-B003-R11","R3-04-R11-000014","2026-04-20","workspace-head","easy",730013,"defeat","military_collapse","",14,359.73,0.3049,0.1381,0.1303,11,106,46,""
"R3-04B-B003-R11","R3-04-R11-000015","2026-04-20","workspace-head","easy",730014,"defeat","internal_division","",20,407.80,0.2332,0.0944,0.1191,20,97,41,""
"R3-04B-B003-R11","R3-04-R11-000016","2026-04-20","workspace-head","easy",730015,"defeat","internal_division","",22,486.16,0.0826,0.1438,0.0604,13,126,116,""
"R3-04B-B003-R11","R3-04-R11-000017","2026-04-20","workspace-head","easy",730016,"defeat","internal_division","",21,535.57,0.2209,0.0854,0.1833,13,87,65,""
"R3-04B-B003-R11","R3-04-R11-000018","2026-04-20","workspace-head","easy",730017,"timeout","attrition","",24,617.03,0.2113,0.1139,0.0434,33,78,55,""
"R3-04B-B003-R11","R3-04-R11-000019","2026-04-20","workspace-head","easy",730018,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,73,134,150,""
"R3-04B-B003-R11","R3-04-R11-000020","2026-04-20","workspace-head","easy",730019,"timeout","attrition","",24,526.61,0.9347,0.2659,0.1617,21,54,0,""
"R3-04B-B003-R11","R3-04-R11-000021","2026-04-20","workspace-head","easy",730020,"defeat","military_collapse","",15,307.64,0.2006,0.1159,0.1078,1,73,83,""
"R3-04B-B003-R11","R3-04-R11-000022","2026-04-20","workspace-head","easy",730021,"victory","energyliberation","energyliberation",4,81.72,0.0499,0.0589,0.0359,64,132,134,""
"R3-04B-B003-R11","R3-04-R11-000023","2026-04-20","workspace-head","easy",730022,"timeout","attrition","",24,511.65,0.1660,0.1557,0.2578,53,130,68,""
"R3-04B-B003-R11","R3-04-R11-000024","2026-04-20","workspace-head","easy",730023,"timeout","attrition","",24,517.72,0.1357,0.1302,0.1750,24,99,81,""
"R3-04B-B003-R11","R3-04-R11-000025","2026-04-20","workspace-head","easy",730024,"timeout","attrition","",24,569.02,0.0381,0.1494,0.1428,46,116,130,""
"R3-04B-B003-R11","R3-04-R11-000026","2026-04-20","workspace-head","easy",730025,"timeout","attrition","",24,580.91,0.4867,0.1369,0.0827,34,111,0,""
"R3-04B-B003-R11","R3-04-R11-000027","2026-04-20","workspace-head","easy",730026,"timeout","attrition","",24,552.47,0.2346,0.0917,0.1193,18,91,59,""
"R3-04B-B003-R11","R3-04-R11-000028","2026-04-20","workspace-head","easy",730027,"defeat","military_collapse","",13,288.48,0.6184,0.0649,0.0582,8,89,0,""
"R3-04B-B003-R11","R3-04-R11-000029","2026-04-20","workspace-head","easy",730028,"timeout","attrition","",24,489.57,0.5635,0.0972,0.0965,69,105,10,""
"R3-04B-B003-R11","R3-04-R11-000030","2026-04-20","workspace-head","easy",730029,"defeat","military_collapse","",17,399.75,0.1227,0.0969,0.1261,8,132,67,""
"R3-04B-B003-R11","R3-04-R11-000031","2026-04-20","workspace-head","easy",730030,"timeout","attrition","",24,597.43,0.2770,0.2755,0.0669,65,84,49,""
"R3-04B-B003-R11","R3-04-R11-000032","2026-04-20","workspace-head","easy",730031,"defeat","military_collapse","",18,462.61,0.1273,0.1652,0.1567,11,110,85,""
"R3-04B-B003-R11","R3-04-R11-000033","2026-04-20","workspace-head","easy",730032,"timeout","attrition","",24,502.94,0.1045,0.2137,0.1279,53,93,104,""
"R3-04B-B003-R11","R3-04-R11-000034","2026-04-20","workspace-head","easy",730033,"defeat","military_collapse","",16,325.77,0.4359,0.1501,0.1856,11,77,32,""
"R3-04B-B003-R11","R3-04-R11-000035","2026-04-20","workspace-head","easy",730034,"timeout","attrition","",24,615.24,0.0746,0.1616,0.0508,49,114,111,""
"R3-04B-B003-R11","R3-04-R11-000036","2026-04-20","workspace-head","easy",730035,"timeout","attrition","",24,582.96,0.2407,0.1800,0.1027,33,117,56,""
"R3-04B-B003-R11","R3-04-R11-000037","2026-04-20","workspace-head","easy",730036,"timeout","attrition","",24,492.21,0.3157,0.1583,0.1897,22,120,39,""
"R3-04B-B003-R11","R3-04-R11-000038","2026-04-20","workspace-head","easy",730037,"timeout","attrition","",24,507.55,0.1159,0.2370,0.1063,45,97,102,""
"R3-04B-B003-R11","R3-04-R11-000039","2026-04-20","workspace-head","easy",730038,"defeat","military_collapse","",6,128.80,0.1046,0.0577,0.2489,8,123,95,""
"R3-04B-B003-R11","R3-04-R11-000040","2026-04-20","workspace-head","easy",730039,"victory","energyliberation","energyliberation",7,166.48,0.0544,0.0681,0.0872,42,109,120,""
"R3-04B-B003-R11","R3-04-R11-000041","2026-04-20","workspace-head","easy",730040,"victory","energyliberation","energyliberation",2,40.49,0.0373,0.0112,0.0629,47,88,116,""
"R3-04B-B003-R11","R3-04-R11-000042","2026-04-20","workspace-head","easy",730041,"timeout","attrition","",24,493.42,0.1925,0.1204,0.0974,22,114,75,""
"R3-04B-B003-R11","R3-04-R11-000043","2026-04-20","workspace-head","easy",730042,"timeout","attrition","",24,506.91,0.1887,0.1141,0.1622,28,127,80,""
"R3-04B-B003-R11","R3-04-R11-000044","2026-04-20","workspace-head","easy",730043,"timeout","attrition","",24,564.20,0.2977,0.5385,0.2204,25,1,47,""
"R3-04B-B003-R11","R3-04-R11-000045","2026-04-20","workspace-head","easy",730044,"timeout","attrition","",24,607.81,0.2980,0.0704,0.0753,20,88,42,""
"R3-04B-B003-R11","R3-04-R11-000046","2026-04-20","workspace-head","easy",730045,"timeout","attrition","",24,562.61,0.2014,0.1883,0.0982,57,86,70,""
"R3-04B-B003-R11","R3-04-R11-000047","2026-04-20","workspace-head","easy",730046,"timeout","attrition","",24,557.13,0.6932,0.0714,0.2255,40,130,0,""
"R3-04B-B003-R11","R3-04-R11-000048","2026-04-20","workspace-head","easy",730047,"timeout","attrition","",24,493.02,0.0984,0.1063,0.1200,60,75,106,""
"R3-04B-B003-R11","R3-04-R11-000049","2026-04-20","workspace-head","easy",730048,"defeat","military_collapse","",9,209.09,0.1066,0.1189,0.0506,5,112,108,""
"R3-04B-B003-R11","R3-04-R11-000050","2026-04-20","workspace-head","easy",730049,"timeout","attrition","",24,583.54,0.2022,0.2117,0.1838,18,111,62,""
"R3-04B-B003-R11","R3-04-R11-000051","2026-04-20","workspace-head","easy",730050,"victory","energyliberation","energyliberation",5,128.36,0.0974,0.0360,0.0312,55,91,115,""
"R3-04B-B003-R11","R3-04-R11-000052","2026-04-20","workspace-head","easy",730051,"timeout","attrition","",24,524.60,0.6077,0.2810,0.1432,28,73,0,""
"R3-04B-B003-R11","R3-04-R11-000053","2026-04-20","workspace-head","easy",730052,"timeout","attrition","",24,589.23,0.2627,0.0872,0.1317,52,113,49,""
"R3-04B-B003-R11","R3-04-R11-000054","2026-04-20","workspace-head","easy",730053,"victory","energyliberation","energyliberation",7,176.66,0.1172,0.0558,0.0817,48,133,104,""
"R3-04B-B003-R11","R3-04-R11-000055","2026-04-20","workspace-head","easy",730054,"timeout","attrition","",24,612.89,0.2186,0.1516,0.1181,31,88,64,""
"R3-04B-B003-R11","R3-04-R11-000056","2026-04-20","workspace-head","easy",730055,"victory","energyliberation","energyliberation",8,172.59,0.0563,0.0325,0.1304,64,119,130,""
"R3-04B-B003-R11","R3-04-R11-000057","2026-04-20","workspace-head","easy",730056,"defeat","military_collapse","",18,361.82,0.1100,0.0852,0.1372,11,117,100,""
"R3-04B-B003-R11","R3-04-R11-000058","2026-04-20","workspace-head","easy",730057,"timeout","attrition","",24,610.12,0.4132,0.1948,0.0614,51,90,30,""
"R3-04B-B003-R11","R3-04-R11-000059","2026-04-20","workspace-head","easy",730058,"victory","energyliberation","energyliberation",3,71.71,0.1773,0.0232,0.0716,54,111,103,""
"R3-04B-B003-R11","R3-04-R11-000060","2026-04-20","workspace-head","easy",730059,"defeat","military_collapse","",19,444.20,0.2156,0.1162,0.1520,9,126,57,""
"R3-04B-B003-R11","R3-04-R11-000061","2026-04-20","workspace-head","easy",730060,"defeat","military_collapse","",11,277.14,0.1292,0.0900,0.0536,10,94,93,""
"R3-04B-B003-R11","R3-04-R11-000062","2026-04-20","workspace-head","easy",730061,"victory","energyliberation","energyliberation",2,51.74,0.0413,0.0419,0.0256,76,103,116,""
