batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04C-B001-R13","R3-04-R13-000001","2026-04-20","workspace-head","easy",1520000,"timeout","attrition","",24,491.96,0.0920,0.1377,0.1600,72,120,101,""
"R3-04C-B001-R13","R3-04-R13-000002","2026-04-20","workspace-head","easy",1520001,"defeat","military_collapse","",22,524.92,0.1143,0.1551,0.1995,8,75,100,""
"R3-04C-B001-R13","R3-04-R13-000003","2026-04-20","workspace-head","easy",1520002,"victory","energyliberation","energyliberation",11,259.29,0.2451,0.1454,0.0607,59,130,59,""
"R3-04C-B001-R13","R3-04-R13-000004","2026-04-20","workspace-head","easy",1520003,"victory","energyliberation","energyliberation",1,30.00,0.0000,0.0000,0.0000,63,160,150,""
"R3-04C-B001-R13","R3-04-R13-000005","2026-04-20","workspace-head","easy",1520004,"victory","energyliberation","energyliberation",12,244.56,0.1427,0.0773,0.2351,65,120,89,""
"R3-04C-B001-R13","R3-04-R13-000006","2026-04-20","workspace-head","easy",1520005,"timeout","attrition","",24,483.34,0.1118,0.1288,0.3165,79,102,102,""
"R3-04C-B001-R13","R3-04-R13-000007","2026-04-20","workspace-head","easy",1520006,"defeat","military_collapse","",18,458.19,0.1436,0.0934,0.1692,6,121,86,""
"R3-04C-B001-R13","R3-04-R13-000008","2026-04-20","workspace-head","easy",1520007,"victory","energyliberation","energyliberation",21,457.53,0.1304,0.3479,0.2168,41,40,97,""
"R3-04C-B001-R13","R3-04-R13-000009","2026-04-20","workspace-head","easy",1520008,"timeout","attrition","",24,500.35,0.4699,0.1440,0.1409,69,109,0,""
"R3-04C-B001-R13","R3-04-R13-000010","2026-04-20","workspace-head","easy",1520009,"victory","energyliberation","energyliberation",3,74.66,0.0321,0.0417,0.0208,60,128,140,""
"R3-04C-B001-R13","R3-04-R13-000011","2026-04-20","workspace-head","easy",1520010,"timeout","attrition","",24,589.09,0.1645,0.1943,0.1035,59,99,63,""
"R3-04C-B001-R13","R3-04-R13-000012","2026-04-20","workspace-head","easy",1520011,"defeat","military_collapse","",21,497.58,0.1826,0.1637,0.1535,7,112,76,""
"R3-04C-B001-R13","R3-04-R13-000013","2026-04-20","workspace-head","easy",1520012,"defeat","military_collapse","",17,378.33,0.3132,0.1731,0.0403,4,124,47,""
"R3-04C-B001-R13","R3-04-R13-000014","2026-04-20","workspace-head","easy",1520013,"timeout","attrition","",24,584.43,0.4507,0.1116,0.1325,72,137,3,""
"R3-04C-B001-R13","R3-04-R13-000015","2026-04-20","workspace-head","easy",1520014,"victory","energyliberation","energyliberation",2,48.93,0.0169,0.0472,0.0534,80,121,145,""
"R3-04C-B001-R13","R3-04-R13-000016","2026-04-20","workspace-head","easy",1520015,"victory","energyliberation","energyliberation",6,129.50,0.0622,0.0258,0.0650,61,113,126,""
"R3-04C-B001-R13","R3-04-R13-000017","2026-04-20","workspace-head","easy",1520016,"victory","energyliberation","energyliberation",3,69.11,0.1272,0.0645,0.0451,54,152,106,""
"R3-04C-B001-R13","R3-04-R13-000018","2026-04-20","workspace-head","easy",1520017,"timeout","attrition","",24,572.36,0.0933,0.1252,0.4425,56,128,99,""
"R3-04C-B001-R13","R3-04-R13-000019","2026-04-20","workspace-head","easy",1520018,"timeout","attrition","",24,610.54,0.1582,0.1659,0.2523,45,113,73,""
"R3-04C-B001-R13","R3-04-R13-000020","2026-04-20","workspace-head","easy",1520019,"victory","energyliberation","energyliberation",17,439.40,0.1769,0.1493,0.0414,49,139,81,""
"R3-04C-B001-R13","R3-04-R13-000021","2026-04-20","workspace-head","easy",1520020,"victory","energyliberation","energyliberation",7,169.47,0.2010,0.1296,0.1092,53,139,67,""
"R3-04C-B001-R13","R3-04-R13-000022","2026-04-20","workspace-head","easy",1520021,"timeout","attrition","",24,517.38,0.0783,0.1379,0.2885,46,117,118,""
"R3-04C-B001-R13","R3-04-R13-000023","2026-04-20","workspace-head","easy",1520022,"victory","energyliberation","energyliberation",7,175.62,0.1559,0.0826,0.0560,54,95,93,""
"R3-04C-B001-R13","R3-04-R13-000024","2026-04-20","workspace-head","easy",1520023,"timeout","attrition","",24,606.49,0.0651,0.0906,0.1332,50,148,124,""
"R3-04C-B001-R13","R3-04-R13-000025","2026-04-20","workspace-head","easy",1520024,"timeout","attrition","",24,553.28,0.2086,0.1570,0.2189,28,87,64,""
"R3-04C-B001-R13","R3-04-R13-000026","2026-04-20","workspace-head","easy",1520025,"victory","energyliberation","energyliberation",3,76.33,0.0000,0.0144,0.1088,63,116,150,""
"R3-04C-B001-R13","R3-04-R13-000027","2026-04-20","workspace-head","easy",1520026,"timeout","attrition","",24,514.47,0.1531,0.1259,0.2970,59,128,69,""
"R3-04C-B001-R13","R3-04-R13-000028","2026-04-20","workspace-head","easy",1520027,"victory","energyliberation","energyliberation",23,544.93,0.1167,0.2824,0.1731,40,40,103,""
