batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04D-B002-R20","R3-04-R20-000001","2026-04-20","workspace-head","easy",2330000,"victory","energyliberation","energyliberation",14,303.62,0.2356,0.2714,0.0786,27,53,66,""
"R3-04D-B002-R20","R3-04-R20-000002","2026-04-20","workspace-head","easy",2330001,"defeat","internal_division","",20,417.49,0.4639,0.2274,0.6624,11,103,0,""
"R3-04D-B002-R20","R3-04-R20-000003","2026-04-20","workspace-head","easy",2330002,"defeat","military_collapse","",10,216.67,0.2347,0.0775,0.1670,3,117,54,""
"R3-04D-B002-R20","R3-04-R20-000004","2026-04-20","workspace-head","easy",2330003,"victory","energyliberation","energyliberation",20,424.56,0.1800,0.1929,0.2869,65,111,77,""
"R3-04D-B002-R20","R3-04-R20-000005","2026-04-20","workspace-head","easy",2330004,"timeout","attrition","",24,544.26,0.1817,0.0814,0.0874,40,131,69,""
"R3-04D-B002-R20","R3-04-R20-000006","2026-04-20","workspace-head","easy",2330005,"victory","energyliberation","energyliberation",22,563.39,0.1822,0.1054,0.0790,63,137,79,""
"R3-04D-B002-R20","R3-04-R20-000007","2026-04-20","workspace-head","easy",2330006,"timeout","attrition","",24,568.88,0.3272,0.1488,0.1936,21,131,27,""
"R3-04D-B002-R20","R3-04-R20-000008","2026-04-20","workspace-head","easy",2330007,"defeat","military_collapse","",12,278.67,0.7794,0.1001,0.0811,3,136,0,""
"R3-04D-B002-R20","R3-04-R20-000009","2026-04-20","workspace-head","easy",2330008,"victory","energyliberation","energyliberation",23,551.66,0.3130,0.4936,0.2999,48,29,50,""
"R3-04D-B002-R20","R3-04-R20-000010","2026-04-20","workspace-head","easy",2330009,"victory","energyliberation","energyliberation",15,378.50,0.6181,0.1646,0.1156,45,80,1,""
"R3-04D-B002-R20","R3-04-R20-000011","2026-04-20","workspace-head","easy",2330010,"victory","energyliberation","energyliberation",7,142.53,0.5917,0.1508,0.2579,57,100,17,""
"R3-04D-B002-R20","R3-04-R20-000012","2026-04-20","workspace-head","easy",2330011,"timeout","attrition","",24,523.18,0.2835,0.1344,0.3861,47,133,42,""
