batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04-B001-R01","R3-04-R01-000001","2026-04-20","workspace-head","easy",320000,"defeat","internal_division","",18,426.58,0.1684,0.1517,0.1198,42,69,94,""
"R3-04-B001-R01","R3-04-R01-000002","2026-04-20","workspace-head","easy",320001,"timeout","attrition","",24,637.10,0.1362,0.1934,0.1393,40,86,96,""
"R3-04-B001-R01","R3-04-R01-000003","2026-04-20","workspace-head","easy",320002,"defeat","military_collapse","",15,398.64,0.1849,0.1190,0.1759,14,90,78,""
"R3-04-B001-R01","R3-04-R01-000004","2026-04-20","workspace-head","easy",320003,"defeat","internal_division","",23,541.30,0.6385,0.1459,0.2189,32,108,0,""
"R3-04-B001-R01","R3-04-R01-000005","2026-04-20","workspace-head","easy",320004,"defeat","military_collapse","",20,467.63,0.1423,0.0812,0.1045,14,94,83,""
"R3-04-B001-R01","R3-04-R01-000006","2026-04-20","workspace-head","easy",320005,"timeout","attrition","",24,620.70,0.1068,0.0863,0.1523,42,94,98,""
"R3-04-B001-R01","R3-04-R01-000007","2026-04-20","workspace-head","easy",320006,"defeat","internal_division","",22,573.64,0.3386,0.0818,0.5106,19,101,34,""
"R3-04-B001-R01","R3-04-R01-000008","2026-04-20","workspace-head","easy",320007,"defeat","military_collapse","",8,193.32,0.1919,0.0527,0.0805,17,106,63,""
"R3-04-B001-R01","R3-04-R01-000009","2026-04-20","workspace-head","easy",320008,"timeout","attrition","",24,602.94,0.1751,0.1783,0.1400,33,56,50,""
"R3-04-B001-R01","R3-04-R01-000010","2026-04-20","workspace-head","easy",320009,"defeat","military_collapse","",9,210.57,0.4119,0.1182,0.0880,16,99,43,""
"R3-04-B001-R01","R3-04-R01-000011","2026-04-20","workspace-head","easy",320010,"defeat","military_collapse","",15,394.21,0.7357,0.0658,0.1159,10,107,0,""
"R3-04-B001-R01","R3-04-R01-000012","2026-04-20","workspace-head","easy",320011,"timeout","attrition","",24,614.05,0.1881,0.1468,0.1720,60,81,81,""
"R3-04-B001-R01","R3-04-R01-000013","2026-04-20","workspace-head","easy",320012,"timeout","attrition","",24,640.44,0.1710,0.1976,0.0992,34,49,86,""
"R3-04-B001-R01","R3-04-R01-000014","2026-04-20","workspace-head","easy",320013,"timeout","attrition","",24,518.11,0.7134,0.1335,0.2393,19,122,0,""
"R3-04-B001-R01","R3-04-R01-000015","2026-04-20","workspace-head","easy",320014,"defeat","military_collapse","",23,591.31,0.1397,0.1468,0.1002,17,119,88,""
"R3-04-B001-R01","R3-04-R01-000016","2026-04-20","workspace-head","easy",320015,"defeat","military_collapse","",24,644.90,0.4375,0.1630,0.1103,12,97,36,""
