batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04E-B001-R24","R3-04-R24-000001","2026-04-21","workspace-head","easy",2940000,"timeout","attrition","",24,531.73,0.1602,0.1240,0.1759,39,137,70,""
"R3-04E-B001-R24","R3-04-R24-000002","2026-04-21","workspace-head","easy",2940001,"timeout","attrition","",24,493.29,0.7169,0.1622,0.1364,53,113,0,""
"R3-04E-B001-R24","R3-04-R24-000003","2026-04-21","workspace-head","easy",2940002,"victory","energyliberation","energyliberation",6,144.76,0.0651,0.0651,0.1540,69,72,131,""
"R3-04E-B001-R24","R3-04-R24-000004","2026-04-21","workspace-head","easy",2940003,"timeout","attrition","",24,484.69,0.1726,0.0987,0.1355,69,128,77,""
"R3-04E-B001-R24","R3-04-R24-000005","2026-04-21","workspace-head","easy",2940004,"timeout","attrition","",24,536.45,0.2234,0.0942,0.3539,51,150,66,""
"R3-04E-B001-R24","R3-04-R24-000006","2026-04-21","workspace-head","easy",2940005,"victory","energyliberation","energyliberation",15,318.52,0.3281,0.1459,0.0957,53,102,58,""
"R3-04E-B001-R24","R3-04-R24-000007","2026-04-21","workspace-head","easy",2940006,"defeat","military_collapse","",13,260.26,0.8105,0.0948,0.1735,5,129,0,""
"R3-04E-B001-R24","R3-04-R24-000008","2026-04-21","workspace-head","easy",2940007,"timeout","attrition","",24,491.82,0.1030,0.1875,0.1789,30,104,99,""
"R3-04E-B001-R24","R3-04-R24-000009","2026-04-21","workspace-head","easy",2940008,"timeout","attrition","",24,481.42,0.2654,0.0476,0.2548,57,172,44,""
"R3-04E-B001-R24","R3-04-R24-000010","2026-04-21","workspace-head","easy",2940009,"victory","energyliberation","energyliberation",21,477.41,0.2330,0.1695,0.9433,23,112,68,""
"R3-04E-B001-R24","R3-04-R24-000011","2026-04-21","workspace-head","easy",2940010,"victory","energyliberation","energyliberation",19,412.31,0.7250,0.1216,0.2845,34,130,5,""
