batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04F-B001-R26","R3-04-R26-000001","2026-04-21","workspace-head","easy",3530000,"timeout","attrition","",24,497.57,0.4368,0.0728,0.2284,28,143,16,""
"R3-04F-B001-R26","R3-04-R26-000002","2026-04-21","workspace-head","easy",3530001,"defeat","military_collapse","",17,432.68,0.2314,0.1024,0.1827,7,136,47,""
"R3-04F-B001-R26","R3-04-R26-000003","2026-04-21","workspace-head","easy",3530002,"timeout","attrition","",24,497.42,0.4268,0.2861,0.1290,66,74,0,""
"R3-04F-B001-R26","R3-04-R26-000004","2026-04-21","workspace-head","easy",3530003,"victory","energyliberation","energyliberation",8,186.31,0.2017,0.0467,0.1725,79,97,82,""
"R3-04F-B001-R26","R3-04-R26-000005","2026-04-21","workspace-head","easy",3530004,"victory","energyliberation","energyliberation",13,292.13,0.5363,0.1462,0.5871,79,113,0,""
"R3-04F-B001-R26","R3-04-R26-000006","2026-04-21","workspace-head","easy",3530005,"victory","energyliberation","energyliberation",18,378.66,0.1288,0.1938,0.2149,45,71,84,""
"R3-04F-B001-R26","R3-04-R26-000007","2026-04-21","workspace-head","easy",3530006,"timeout","attrition","",24,580.22,0.1146,0.2022,0.2277,40,103,98,""
"R3-04F-B001-R26","R3-04-R26-000008","2026-04-21","workspace-head","easy",3530007,"defeat","military_collapse","",13,307.22,0.0353,0.2035,0.2141,1,81,132,""
"R3-04F-B001-R26","R3-04-R26-000009","2026-04-21","workspace-head","easy",3530008,"timeout","attrition","",24,521.10,0.4501,0.0660,0.3405,71,161,0,""
"R3-04F-B001-R26","R3-04-R26-000010","2026-04-21","workspace-head","easy",3530009,"victory","energyliberation","energyliberation",17,352.74,0.1726,0.1502,0.3428,55,81,83,""
"R3-04F-B001-R26","R3-04-R26-000011","2026-04-21","workspace-head","easy",3530010,"victory","energyliberation","energyliberation",3,68.65,0.0000,0.1070,0.1388,82,106,150,""
"R3-04F-B001-R26","R3-04-R26-000012","2026-04-21","workspace-head","easy",3530011,"timeout","attrition","",24,585.51,0.2099,0.1248,0.1100,82,114,59,""
"R3-04F-B001-R26","R3-04-R26-000013","2026-04-21","workspace-head","easy",3530012,"timeout","attrition","",24,599.22,0.5792,0.1665,0.3082,35,109,0,""
"R3-04F-B001-R26","R3-04-R26-000014","2026-04-21","workspace-head","easy",3530013,"timeout","attrition","",24,612.45,0.8000,0.2108,0.2202,61,99,0,""
"R3-04F-B001-R26","R3-04-R26-000015","2026-04-21","workspace-head","easy",3530014,"victory","energyliberation","energyliberation",12,304.85,0.3348,0.1306,0.1861,48,144,42,""
"R3-04F-B001-R26","R3-04-R26-000016","2026-04-21","workspace-head","easy",3530015,"timeout","attrition","",24,600.94,0.3950,0.1435,0.1706,51,124,14,""
"R3-04F-B001-R26","R3-04-R26-000017","2026-04-21","workspace-head","easy",3530016,"victory","energyliberation","energyliberation",9,182.73,0.1463,0.1639,0.0865,66,117,97,""
