batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04G-B006-R44","R3-04-R44-000001","2026-04-21","workspace-head","easy",4130000,"victory","energyliberation","energyliberation",18,440.82,0.2599,0.1039,0.2396,77,148,61,""
"R3-04G-B006-R44","R3-04-R44-000002","2026-04-21","workspace-head","easy",4130001,"timeout","attrition","",24,642.62,0.2274,0.2085,0.6589,19,50,61,""
"R3-04G-B006-R44","R3-04-R44-000003","2026-04-21","workspace-head","easy",4130002,"victory","energyliberation","energyliberation",7,150.50,0.1408,0.0441,0.0945,64,107,102,""
"R3-04G-B006-R44","R3-04-R44-000004","2026-04-21","workspace-head","easy",4130003,"victory","energyliberation","energyliberation",8,206.14,0.0518,0.0767,0.1052,52,127,127,""
"R3-04G-B006-R44","R3-04-R44-000005","2026-04-21","workspace-head","easy",4130004,"timeout","attrition","",24,549.39,0.4762,0.0979,0.3110,48,114,0,""
"R3-04G-B006-R44","R3-04-R44-000006","2026-04-21","workspace-head","easy",4130005,"victory","energyliberation","energyliberation",11,259.44,0.4014,0.1094,0.6701,86,103,31,""
"R3-04G-B006-R44","R3-04-R44-000007","2026-04-21","workspace-head","easy",4130006,"victory","energyliberation","energyliberation",7,169.57,0.0495,0.0239,0.0545,66,131,133,""
"R3-04G-B006-R44","R3-04-R44-000008","2026-04-21","workspace-head","easy",4130007,"defeat","military_collapse","",21,483.07,0.2292,0.1675,0.1025,2,96,69,""
"R3-04G-B006-R44","R3-04-R44-000009","2026-04-21","workspace-head","easy",4130008,"defeat","internal_division","",23,606.95,0.2599,0.3783,0.0582,7,63,46,""
"R3-04G-B006-R44","R3-04-R44-000010","2026-04-21","workspace-head","easy",4130009,"victory","energyliberation","energyliberation",15,337.07,0.6966,0.0704,0.1898,78,151,0,""
"R3-04G-B006-R44","R3-04-R44-000011","2026-04-21","workspace-head","easy",4130010,"victory","energyliberation","energyliberation",2,53.32,0.0000,0.0915,0.3962,85,129,150,""
"R3-04G-B006-R44","R3-04-R44-000012","2026-04-21","workspace-head","easy",4130011,"victory","energyliberation","energyliberation",24,614.00,0.2672,0.2520,1.0403,79,97,9,""
"R3-04G-B006-R44","R3-04-R44-000013","2026-04-21","workspace-head","easy",4130012,"timeout","attrition","",24,532.88,0.1951,0.1392,0.0831,71,131,70,""
"R3-04G-B006-R44","R3-04-R44-000014","2026-04-21","workspace-head","easy",4130013,"victory","energyliberation","energyliberation",6,142.17,0.0439,0.0731,0.2256,85,116,132,""
"R3-04G-B006-R44","R3-04-R44-000015","2026-04-21","workspace-head","easy",4130014,"timeout","attrition","",24,525.67,0.3331,0.2629,0.1101,43,53,26,""
"R3-04G-B006-R44","R3-04-R44-000016","2026-04-21","workspace-head","easy",4130015,"victory","energyliberation","energyliberation",18,453.86,0.2096,0.1601,0.0949,43,74,64,""
"R3-04G-B006-R44","R3-04-R44-000017","2026-04-21","workspace-head","easy",4130016,"timeout","attrition","",24,633.35,0.5953,0.1350,0.1779,30,122,3,""
"R3-04G-B006-R44","R3-04-R44-000018","2026-04-21","workspace-head","easy",4130017,"timeout","attrition","",24,507.69,0.4017,0.0806,0.6250,32,149,40,""
"R3-04G-B006-R44","R3-04-R44-000019","2026-04-21","workspace-head","easy",4130018,"victory","energyliberation","energyliberation",8,193.25,0.0515,0.0618,0.0133,79,172,127,""
"R3-04G-B006-R44","R3-04-R44-000020","2026-04-21","workspace-head","easy",4130019,"victory","energyliberation","energyliberation",6,142.19,0.1191,0.1158,0.0857,67,81,108,""
"R3-04G-B006-R44","R3-04-R44-000021","2026-04-21","workspace-head","easy",4130020,"victory","axisvictory","axisvictory",7,184.69,0.2612,0.1345,0.0575,59,114,66,""
"R3-04G-B006-R44","R3-04-R44-000022","2026-04-21","workspace-head","easy",4130021,"timeout","attrition","",24,561.33,0.2707,0.0933,0.1444,53,139,40,""
"R3-04G-B006-R44","R3-04-R44-000023","2026-04-21","workspace-head","easy",4130022,"victory","energyliberation","energyliberation",5,106.90,0.1135,0.0645,0.2017,61,109,115,""
"R3-04G-B006-R44","R3-04-R44-000024","2026-04-21","workspace-head","easy",4130023,"victory","energyliberation","energyliberation",8,190.83,0.0311,0.0893,0.0586,75,118,136,""
"R3-04G-B006-R44","R3-04-R44-000025","2026-04-21","workspace-head","easy",4130024,"victory","energyliberation","energyliberation",3,76.62,0.0548,0.0094,0.0000,91,149,124,""
"R3-04G-B006-R44","R3-04-R44-000026","2026-04-21","workspace-head","easy",4130025,"victory","energyliberation","energyliberation",6,143.84,0.1556,0.0672,0.2191,64,104,98,""
"R3-04G-B006-R44","R3-04-R44-000027","2026-04-21","workspace-head","easy",4130026,"victory","energyliberation","energyliberation",19,475.37,0.8001,0.2317,0.1327,15,81,0,""
"R3-04G-B006-R44","R3-04-R44-000028","2026-04-21","workspace-head","easy",4130027,"victory","energyliberation","energyliberation",8,215.12,0.5193,0.0745,0.5118,70,127,13,""
"R3-04G-B006-R44","R3-04-R44-000029","2026-04-21","workspace-head","easy",4130028,"timeout","attrition","",24,521.79,0.5523,0.0630,0.0557,73,159,0,""
"R3-04G-B006-R44","R3-04-R44-000030","2026-04-21","workspace-head","easy",4130029,"timeout","attrition","",24,534.50,0.0921,0.2376,0.0795,54,90,110,""
"R3-04G-B006-R44","R3-04-R44-000031","2026-04-21","workspace-head","easy",4130030,"timeout","attrition","",24,609.99,0.1175,0.2025,0.5971,65,105,98,""
"R3-04G-B006-R44","R3-04-R44-000032","2026-04-21","workspace-head","easy",4130031,"victory","energyliberation","energyliberation",16,431.48,0.1843,0.1959,0.1232,51,117,72,""
"R3-04G-B006-R44","R3-04-R44-000033","2026-04-21","workspace-head","easy",4130032,"victory","energyliberation","energyliberation",13,276.14,0.2989,0.1413,0.0699,69,92,49,""
"R3-04G-B006-R44","R3-04-R44-000034","2026-04-21","workspace-head","easy",4130033,"victory","energyliberation","energyliberation",14,375.25,0.5087,0.1118,0.3587,50,96,11,""
"R3-04G-B006-R44","R3-04-R44-000035","2026-04-21","workspace-head","easy",4130034,"timeout","attrition","",24,575.18,0.5397,0.1728,0.2198,57,97,8,""
"R3-04G-B006-R44","R3-04-R44-000036","2026-04-21","workspace-head","easy",4130035,"timeout","attrition","",24,633.19,0.6566,0.0763,0.1344,37,149,0,""
"R3-04G-B006-R44","R3-04-R44-000037","2026-04-21","workspace-head","easy",4130036,"victory","energyliberation","energyliberation",8,173.15,0.0908,0.3949,0.0161,36,37,116,""
"R3-04G-B006-R44","R3-04-R44-000038","2026-04-21","workspace-head","easy",4130037,"timeout","attrition","",24,556.15,0.0475,0.1300,0.3817,54,126,126,""
"R3-04G-B006-R44","R3-04-R44-000039","2026-04-21","workspace-head","easy",4130038,"victory","energyliberation","energyliberation",4,100.12,0.0461,0.0620,0.0880,83,147,134,""
"R3-04G-B006-R44","R3-04-R44-000040","2026-04-21","workspace-head","easy",4130039,"victory","energyliberation","energyliberation",16,417.24,0.2213,0.1282,0.0769,48,101,76,""
"R3-04G-B006-R44","R3-04-R44-000041","2026-04-21","workspace-head","easy",4130040,"victory","energyliberation","energyliberation",8,179.98,0.1686,0.0690,0.1306,64,109,77,""
"R3-04G-B006-R44","R3-04-R44-000042","2026-04-21","workspace-head","easy",4130041,"timeout","attrition","",24,535.50,0.5562,0.1027,0.3170,64,137,0,""
"R3-04G-B006-R44","R3-04-R44-000043","2026-04-21","workspace-head","easy",4130042,"victory","energyliberation","energyliberation",9,232.32,0.0663,0.1206,0.4810,69,83,126,""
"R3-04G-B006-R44","R3-04-R44-000044","2026-04-21","workspace-head","easy",4130043,"timeout","attrition","",24,642.68,0.1213,0.1888,0.2271,66,108,89,""
"R3-04G-B006-R44","R3-04-R44-000045","2026-04-21","workspace-head","easy",4130044,"timeout","attrition","",24,598.31,0.2117,0.1137,0.0594,56,139,55,""
"R3-04G-B006-R44","R3-04-R44-000046","2026-04-21","workspace-head","easy",4130045,"timeout","attrition","",24,596.66,0.1458,0.1123,0.1520,53,144,94,""
