batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04H-B004-R83","R3-04-R83-000001","2026-04-21","workspace-head","easy",4720000,"timeout","attrition","",24,585.16,0.1813,0.1136,0.1567,48,147,66,""
"R3-04H-B004-R83","R3-04-R83-000002","2026-04-21","workspace-head","easy",4720001,"victory","energyliberation","energyliberation",5,117.44,0.0465,0.0714,0.2963,74,153,119,""
"R3-04H-B004-R83","R3-04-R83-000003","2026-04-21","workspace-head","easy",4720002,"victory","energyliberation","energyliberation",5,113.96,0.0506,0.0409,0.0217,74,124,131,""
"R3-04H-B004-R83","R3-04-R83-000004","2026-04-21","workspace-head","easy",4720003,"defeat","military_collapse","",14,341.15,0.2725,0.0543,0.1451,0,147,66,""
"R3-04H-B004-R83","R3-04-R83-000005","2026-04-21","workspace-head","easy",4720004,"defeat","military_collapse","",23,527.93,0.4119,0.1041,0.2862,0,144,17,""
"R3-04H-B004-R83","R3-04-R83-000006","2026-04-21","workspace-head","easy",4720005,"victory","energyliberation","energyliberation",6,130.29,0.1231,0.0954,0.3789,54,111,114,""
"R3-04H-B004-R83","R3-04-R83-000007","2026-04-21","workspace-head","easy",4720006,"victory","energyliberation","energyliberation",18,389.22,0.1320,0.1815,0.1211,48,91,103,""
"R3-04H-B004-R83","R3-04-R83-000008","2026-04-21","workspace-head","easy",4720007,"victory","energyliberation","energyliberation",23,580.17,0.0761,0.1700,0.2709,72,97,115,""
"R3-04H-B004-R83","R3-04-R83-000009","2026-04-21","workspace-head","easy",4720008,"timeout","attrition","",24,572.23,0.1780,0.1437,0.1738,25,118,82,""
"R3-04H-B004-R83","R3-04-R83-000010","2026-04-21","workspace-head","easy",4720009,"timeout","attrition","",24,595.14,0.5003,0.1240,0.4852,32,131,0,""
"R3-04H-B004-R83","R3-04-R83-000011","2026-04-21","workspace-head","easy",4720010,"victory","energyliberation","energyliberation",9,214.31,0.2494,0.0919,0.5749,51,148,65,""
"R3-04H-B004-R83","R3-04-R83-000012","2026-04-21","workspace-head","easy",4720011,"victory","energyliberation","energyliberation",8,196.57,0.2255,0.0594,0.0471,52,140,72,""
"R3-04H-B004-R83","R3-04-R83-000013","2026-04-21","workspace-head","easy",4720012,"victory","energyliberation","energyliberation",6,138.76,0.0633,0.0985,0.1206,83,107,127,""
"R3-04H-B004-R83","R3-04-R83-000014","2026-04-21","workspace-head","easy",4720013,"victory","energyliberation","energyliberation",24,579.88,0.1215,0.1113,0.0639,57,113,93,""
"R3-04H-B004-R83","R3-04-R83-000015","2026-04-21","workspace-head","easy",4720014,"defeat","military_collapse","",11,259.97,0.1609,0.0601,0.3700,0,131,97,""
"R3-04H-B004-R83","R3-04-R83-000016","2026-04-21","workspace-head","easy",4720015,"victory","energyliberation","energyliberation",5,104.18,0.0527,0.0392,0.0281,62,107,132,""
"R3-04H-B004-R83","R3-04-R83-000017","2026-04-21","workspace-head","easy",4720016,"timeout","attrition","",24,574.47,0.5234,0.1801,0.6646,31,119,0,""
"R3-04H-B004-R83","R3-04-R83-000018","2026-04-21","workspace-head","easy",4720017,"victory","energyliberation","energyliberation",6,146.94,0.1262,0.1264,0.1580,89,133,101,""
"R3-04H-B004-R83","R3-04-R83-000019","2026-04-21","workspace-head","easy",4720018,"timeout","attrition","",24,509.28,0.1989,0.1550,0.1420,20,88,71,""
