batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04I-B001-R86","R3-04-R86-000001","2026-04-21","workspace-head","easy",5320000,"victory","energyliberation","energyliberation",7,173.48,0.0616,0.1447,0.0765,72,134,124,""
"R3-04I-B001-R86","R3-04-R86-000002","2026-04-21","workspace-head","easy",5320001,"victory","energyliberation","energyliberation",10,242.02,0.1783,0.1328,0.0755,47,123,92,""
"R3-04I-B001-R86","R3-04-R86-000003","2026-04-21","workspace-head","easy",5320002,"timeout","attrition","",24,622.93,0.2153,0.1601,0.1979,42,126,48,""
"R3-04I-B001-R86","R3-04-R86-000004","2026-04-21","workspace-head","easy",5320003,"victory","axisvictory","axisvictory",10,220.76,0.1190,0.0772,0.2467,49,132,100,""
"R3-04I-B001-R86","R3-04-R86-000005","2026-04-21","workspace-head","easy",5320004,"timeout","attrition","",24,529.11,0.1313,0.1988,0.2348,76,90,94,""
"R3-04I-B001-R86","R3-04-R86-000006","2026-04-21","workspace-head","easy",5320005,"victory","energyliberation","energyliberation",5,107.13,0.1079,0.2061,0.0421,47,72,108,""
"R3-04I-B001-R86","R3-04-R86-000007","2026-04-21","workspace-head","easy",5320006,"victory","energyliberation","energyliberation",6,151.54,0.0536,0.0773,0.1723,45,120,125,""
"R3-04I-B001-R86","R3-04-R86-000008","2026-04-21","workspace-head","easy",5320007,"victory","axisvictory","axisvictory",10,230.22,0.0924,0.0788,0.1377,53,159,115,""
"R3-04I-B001-R86","R3-04-R86-000009","2026-04-21","workspace-head","easy",5320008,"victory","energyliberation","energyliberation",12,292.20,0.1931,0.0773,0.2422,87,156,70,""
"R3-04I-B001-R86","R3-04-R86-000010","2026-04-21","workspace-head","easy",5320009,"victory","energyliberation","energyliberation",7,146.45,0.1356,0.0937,0.0801,69,144,101,""
"R3-04I-B001-R86","R3-04-R86-000011","2026-04-21","workspace-head","easy",5320010,"victory","axisvictory","axisvictory",8,175.10,0.2386,0.0935,0.2021,52,122,75,""
"R3-04I-B001-R86","R3-04-R86-000012","2026-04-21","workspace-head","easy",5320011,"victory","energyliberation","energyliberation",8,180.63,0.0721,0.0507,0.1486,54,108,123,""
"R3-04I-B001-R86","R3-04-R86-000013","2026-04-21","workspace-head","easy",5320012,"victory","energyliberation","energyliberation",6,142.16,0.0290,0.0517,0.2065,85,125,138,""
"R3-04I-B001-R86","R3-04-R86-000014","2026-04-21","workspace-head","easy",5320013,"victory","energyliberation","energyliberation",22,498.76,0.0375,0.1583,0.1920,64,126,131,""
"R3-04I-B001-R86","R3-04-R86-000015","2026-04-21","workspace-head","easy",5320014,"victory","energyliberation","energyliberation",20,519.79,0.5692,0.2029,0.1847,54,104,0,""
"R3-04I-B001-R86","R3-04-R86-000016","2026-04-21","workspace-head","easy",5320015,"victory","energyliberation","energyliberation",8,167.14,0.1152,0.0971,0.1188,74,118,107,""
"R3-04I-B001-R86","R3-04-R86-000017","2026-04-21","workspace-head","easy",5320016,"victory","energyliberation","energyliberation",8,178.08,0.0922,0.1716,0.1546,67,88,117,""
"R3-04I-B001-R86","R3-04-R86-000018","2026-04-21","workspace-head","easy",5320017,"timeout","attrition","",24,619.61,0.2122,0.1969,0.4789,13,90,65,""
"R3-04I-B001-R86","R3-04-R86-000019","2026-04-21","workspace-head","easy",5320018,"timeout","attrition","",24,619.36,0.4357,0.1554,0.2531,55,116,0,""
"R3-04I-B001-R86","R3-04-R86-000020","2026-04-21","workspace-head","easy",5320019,"victory","energyliberation","energyliberation",5,121.10,0.0479,0.0645,0.0462,46,124,132,""
"R3-04I-B001-R86","R3-04-R86-000021","2026-04-21","workspace-head","easy",5320020,"victory","energyliberation","energyliberation",11,251.29,0.2474,0.0746,0.2887,28,153,72,""
"R3-04I-B001-R86","R3-04-R86-000022","2026-04-21","workspace-head","easy",5320021,"timeout","attrition","",24,529.13,0.4159,0.1405,0.2310,32,124,9,""
"R3-04I-B001-R86","R3-04-R86-000023","2026-04-21","workspace-head","easy",5320022,"victory","energyliberation","energyliberation",11,242.38,0.1068,0.1778,0.2271,61,89,100,""
"R3-04I-B001-R86","R3-04-R86-000024","2026-04-21","workspace-head","easy",5320023,"timeout","attrition","",24,562.03,0.1575,0.4294,0.0827,58,22,82,""
"R3-04I-B001-R86","R3-04-R86-000025","2026-04-21","workspace-head","easy",5320024,"victory","energyliberation","energyliberation",7,162.77,0.0622,0.0498,0.0635,53,161,126,""
"R3-04I-B001-R86","R3-04-R86-000026","2026-04-21","workspace-head","easy",5320025,"victory","energyliberation","energyliberation",22,548.35,0.4829,0.2632,0.1162,59,86,10,""
"R3-04I-B001-R86","R3-04-R86-000027","2026-04-21","workspace-head","easy",5320026,"timeout","attrition","",24,492.37,0.0957,0.1078,0.6079,59,104,107,""
"R3-04I-B001-R86","R3-04-R86-000028","2026-04-21","workspace-head","easy",5320027,"victory","energyliberation","energyliberation",20,519.21,0.5444,0.2385,0.2505,58,87,11,""
