batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04J-B001-R103","R3-04-R103-000001","2026-04-21","workspace-head","easy",6520000,"timeout","attrition","",24,526.03,0.3958,0.1348,0.7367,69,123,0,""
"R3-04J-B001-R103","R3-04-R103-000002","2026-04-21","workspace-head","easy",6520001,"timeout","attrition","",24,518.55,0.5682,0.1737,0.1822,51,86,18,""
"R3-04J-B001-R103","R3-04-R103-000003","2026-04-21","workspace-head","easy",6520002,"timeout","attrition","",24,510.01,1.0048,0.1440,0.2483,44,122,0,""
"R3-04J-B001-R103","R3-04-R103-000004","2026-04-21","workspace-head","easy",6520003,"victory","axisvictory","axisvictory",12,302.57,0.1118,0.2350,0.0813,37,52,110,""
"R3-04J-B001-R103","R3-04-R103-000005","2026-04-21","workspace-head","easy",6520004,"victory","energyliberation","energyliberation",11,241.37,0.1560,0.1128,0.0946,82,100,94,""
"R3-04J-B001-R103","R3-04-R103-000006","2026-04-21","workspace-head","easy",6520005,"victory","energyliberation","energyliberation",9,227.06,0.1294,0.0490,0.1070,76,157,96,""
"R3-04J-B001-R103","R3-04-R103-000007","2026-04-21","workspace-head","easy",6520006,"timeout","attrition","",24,595.60,0.2492,0.0535,0.1541,58,165,53,""
"R3-04J-B001-R103","R3-04-R103-000008","2026-04-21","workspace-head","easy",6520007,"timeout","attrition","",24,562.68,0.4093,0.1658,0.2072,54,114,29,""
"R3-04J-B001-R103","R3-04-R103-000009","2026-04-21","workspace-head","easy",6520008,"timeout","attrition","",24,616.98,0.1882,0.1174,0.5709,68,140,56,""
"R3-04J-B001-R103","R3-04-R103-000010","2026-04-21","workspace-head","easy",6520009,"victory","axisvictory","axisvictory",20,409.96,0.2340,0.1294,0.5096,69,139,42,""
"R3-04J-B001-R103","R3-04-R103-000011","2026-04-21","workspace-head","easy",6520010,"timeout","attrition","",24,488.53,0.6109,0.3189,0.1121,68,71,0,""
"R3-04J-B001-R103","R3-04-R103-000012","2026-04-21","workspace-head","easy",6520011,"victory","energyliberation","energyliberation",13,335.20,0.1465,0.0559,0.4506,90,126,95,""
"R3-04J-B001-R103","R3-04-R103-000013","2026-04-21","workspace-head","easy",6520012,"victory","energyliberation","energyliberation",16,358.95,0.3497,0.0992,0.1896,63,126,41,""
"R3-04J-B001-R103","R3-04-R103-000014","2026-04-21","workspace-head","easy",6520013,"timeout","attrition","",24,566.75,0.1955,0.1340,0.1693,56,108,70,""
"R3-04J-B001-R103","R3-04-R103-000015","2026-04-21","workspace-head","easy",6520014,"timeout","attrition","",24,591.89,0.3312,0.1759,0.1503,47,106,45,""
"R3-04J-B001-R103","R3-04-R103-000016","2026-04-21","workspace-head","easy",6520015,"victory","energyliberation","energyliberation",17,427.73,0.3417,0.1581,0.1000,63,113,53,""
