batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04AA-B001-R197","R3-04-R197-000001","2026-04-22","workspace-head","easy",14520000,"timeout","attrition","",24,505.69,0.9781,0.1444,0.7008,36,91,0,""
"R3-04AA-B001-R197","R3-04-R197-000002","2026-04-22","workspace-head","easy",14520001,"victory","combined","combined",15,352.83,0.1624,0.3850,0.1235,79,39,75,""
"R3-04AA-B001-R197","R3-04-R197-000003","2026-04-22","workspace-head","easy",14520002,"victory","energyliberation","energyliberation",8,196.75,0.0643,0.0355,0.2303,52,145,106,""
"R3-04AA-B001-R197","R3-04-R197-000004","2026-04-22","workspace-head","easy",14520003,"timeout","attrition","",24,572.93,0.2299,0.2057,0.2013,63,95,39,""
"R3-04AA-B001-R197","R3-04-R197-000005","2026-04-22","workspace-head","easy",14520004,"victory","energyliberation","energyliberation",21,468.46,0.1828,0.1481,0.4609,80,118,76,""
"R3-04AA-B001-R197","R3-04-R197-000006","2026-04-22","workspace-head","easy",14520005,"victory","energyliberation","energyliberation",11,231.69,0.1312,0.1195,0.3467,83,103,93,""
"R3-04AA-B001-R197","R3-04-R197-000007","2026-04-22","workspace-head","easy",14520006,"timeout","attrition","",24,616.03,0.4789,0.2606,0.6431,12,59,0,""
"R3-04AA-B001-R197","R3-04-R197-000008","2026-04-22","workspace-head","easy",14520007,"timeout","attrition","",24,572.93,0.5511,0.2444,0.1014,57,99,20,""
"R3-04AA-B001-R197","R3-04-R197-000009","2026-04-22","workspace-head","easy",14520008,"victory","energyliberation","energyliberation",9,209.04,0.0504,0.1188,0.1034,88,125,129,""
"R3-04AA-B001-R197","R3-04-R197-000010","2026-04-22","workspace-head","easy",14520009,"timeout","attrition","",24,489.63,0.2062,0.0771,0.0433,54,133,67,""
"R3-04AA-B001-R197","R3-04-R197-000011","2026-04-22","workspace-head","easy",14520010,"victory","energyliberation","energyliberation",10,242.59,0.0251,0.1267,0.1379,53,94,139,""
"R3-04AA-B001-R197","R3-04-R197-000012","2026-04-22","workspace-head","easy",14520011,"victory","energyliberation","energyliberation",9,193.84,0.6814,0.1369,0.1217,67,126,15,""
"R3-04AA-B001-R197","R3-04-R197-000013","2026-04-22","workspace-head","easy",14520012,"victory","energyliberation","energyliberation",16,387.16,0.2248,0.1043,0.1728,72,99,67,""
"R3-04AA-B001-R197","R3-04-R197-000014","2026-04-22","workspace-head","easy",14520013,"defeat","military_collapse","",10,243.40,1.1223,0.1181,0.4079,0,118,0,""
"R3-04AA-B001-R197","R3-04-R197-000015","2026-04-22","workspace-head","easy",14520014,"timeout","attrition","",24,589.91,0.1644,0.1161,0.0744,54,129,81,""
"R3-04AA-B001-R197","R3-04-R197-000016","2026-04-22","workspace-head","easy",14520015,"timeout","attrition","",24,525.18,0.6939,0.0987,0.1528,43,129,0,""
"R3-04AA-B001-R197","R3-04-R197-000017","2026-04-22","workspace-head","easy",14520016,"victory","energyliberation","energyliberation",22,477.34,0.3749,0.4338,0.3445,83,29,36,""
"R3-04AA-B001-R197","R3-04-R197-000018","2026-04-22","workspace-head","easy",14520017,"victory","energyliberation","energyliberation",17,419.23,0.1474,0.0878,0.1048,73,99,95,""
"R3-04AA-B001-R197","R3-04-R197-000019","2026-04-22","workspace-head","easy",14520018,"timeout","attrition","",24,574.03,0.6310,0.1063,0.1935,25,134,4,""
"R3-04AA-B001-R197","R3-04-R197-000020","2026-04-22","workspace-head","easy",14520019,"victory","energyliberation","energyliberation",4,98.09,0.0000,0.0587,0.0500,80,136,150,""
"R3-04AA-B001-R197","R3-04-R197-000021","2026-04-22","workspace-head","easy",14520020,"victory","energyliberation","energyliberation",7,141.82,0.2524,0.0757,0.2175,45,109,64,""
"R3-04AA-B001-R197","R3-04-R197-000022","2026-04-22","workspace-head","easy",14520021,"victory","energyliberation","energyliberation",8,195.55,0.1186,0.0510,0.3683,63,128,99,""
"R3-04AA-B001-R197","R3-04-R197-000023","2026-04-22","workspace-head","easy",14520022,"victory","energyliberation","energyliberation",8,162.80,0.1547,0.0782,0.0644,73,123,93,""
"R3-04AA-B001-R197","R3-04-R197-000024","2026-04-22","workspace-head","easy",14520023,"victory","energyliberation","energyliberation",5,126.80,0.1140,0.0239,0.1438,88,174,109,""
"R3-04AA-B001-R197","R3-04-R197-000025","2026-04-22","workspace-head","easy",14520024,"victory","axisvictory","axisvictory",5,113.65,0.1264,0.0935,0.1407,40,101,102,""
"R3-04AA-B001-R197","R3-04-R197-000026","2026-04-22","workspace-head","easy",14520025,"victory","energyliberation","energyliberation",10,238.85,0.0731,0.0476,0.1294,51,131,114,""
"R3-04AA-B001-R197","R3-04-R197-000027","2026-04-22","workspace-head","easy",14520026,"timeout","attrition","",24,578.93,0.6313,0.0864,0.2969,54,138,0,""
"R3-04AA-B001-R197","R3-04-R197-000028","2026-04-22","workspace-head","easy",14520027,"victory","energyliberation","energyliberation",8,201.95,0.5207,0.0535,0.2253,52,115,39,""
"R3-04AA-B001-R197","R3-04-R197-000029","2026-04-22","workspace-head","easy",14520028,"victory","axisvictory","axisvictory",12,256.27,0.2087,0.1655,0.2021,90,98,84,""
"R3-04AA-B001-R197","R3-04-R197-000030","2026-04-22","workspace-head","easy",14520029,"timeout","attrition","",24,547.83,0.0947,0.1098,0.2459,70,105,111,""
"R3-04AA-B001-R197","R3-04-R197-000031","2026-04-22","workspace-head","easy",14520030,"victory","energyliberation","energyliberation",14,325.57,0.3354,0.0655,0.8497,47,158,61,""
"R3-04AA-B001-R197","R3-04-R197-000032","2026-04-22","workspace-head","easy",14520031,"timeout","attrition","",24,525.12,0.2065,0.1650,0.3849,56,131,63,""
"R3-04AA-B001-R197","R3-04-R197-000033","2026-04-22","workspace-head","easy",14520032,"victory","energyliberation","energyliberation",14,288.89,0.7736,0.2976,0.0035,69,49,0,""
"R3-04AA-B001-R197","R3-04-R197-000034","2026-04-22","workspace-head","easy",14520033,"victory","axisvictory","axisvictory",16,355.22,0.3536,0.0518,0.2067,65,167,41,""
"R3-04AA-B001-R197","R3-04-R197-000035","2026-04-22","workspace-head","easy",14520034,"victory","axisvictory","axisvictory",5,109.81,0.2598,0.0256,0.0639,48,131,76,""
"R3-04AA-B001-R197","R3-04-R197-000036","2026-04-22","workspace-head","easy",14520035,"victory","energyliberation","energyliberation",8,168.43,0.5293,0.0314,0.0209,46,144,32,""
"R3-04AA-B001-R197","R3-04-R197-000037","2026-04-22","workspace-head","easy",14520036,"timeout","attrition","",24,527.58,0.2441,0.0984,0.1572,53,102,60,""
"R3-04AA-B001-R197","R3-04-R197-000038","2026-04-22","workspace-head","easy",14520037,"victory","energyliberation","energyliberation",17,413.59,0.5995,0.1360,0.1887,68,99,3,""
"R3-04AA-B001-R197","R3-04-R197-000039","2026-04-22","workspace-head","easy",14520038,"victory","energyliberation","energyliberation",13,334.24,0.1806,0.1267,0.0874,36,119,78,""
"R3-04AA-B001-R197","R3-04-R197-000040","2026-04-22","workspace-head","easy",14520039,"victory","energyliberation","energyliberation",4,96.55,0.0294,0.0880,0.0833,75,139,140,""
"R3-04AA-B001-R197","R3-04-R197-000041","2026-04-22","workspace-head","easy",14520040,"timeout","attrition","",24,560.98,0.7065,0.1597,0.2444,21,94,0,""
"R3-04AA-B001-R197","R3-04-R197-000042","2026-04-22","workspace-head","easy",14520041,"victory","energyliberation","energyliberation",6,146.18,0.0517,0.0375,0.0812,78,113,129,""
"R3-04AA-B001-R197","R3-04-R197-000043","2026-04-22","workspace-head","easy",14520042,"victory","axisvictory","axisvictory",10,231.46,0.3292,0.1807,0.1021,89,88,63,""
"R3-04AA-B001-R197","R3-04-R197-000044","2026-04-22","workspace-head","easy",14520043,"victory","energyliberation","energyliberation",9,206.47,0.2728,0.0345,0.3689,36,182,53,""
