batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04K-B002-R122","R3-04-R122-000001","2026-04-22","workspace-head","easy",7320000,"victory","energyliberation","energyliberation",5,119.74,0.1164,0.1142,0.0287,65,84,107,""
"R3-04K-B002-R122","R3-04-R122-000002","2026-04-22","workspace-head","easy",7320001,"timeout","attrition","",24,568.65,0.1142,0.1742,0.1835,65,121,97,""
"R3-04K-B002-R122","R3-04-R122-000003","2026-04-22","workspace-head","easy",7320002,"victory","energyliberation","energyliberation",7,166.71,0.0885,0.0760,0.0761,46,152,107,""
"R3-04K-B002-R122","R3-04-R122-000004","2026-04-22","workspace-head","easy",7320003,"victory","axisvictory","axisvictory",5,117.81,0.1216,0.1771,0.1309,88,105,107,""
"R3-04K-B002-R122","R3-04-R122-000005","2026-04-22","workspace-head","easy",7320004,"victory","energyliberation","energyliberation",5,111.53,0.0353,0.0429,0.0476,79,122,137,""
"R3-04K-B002-R122","R3-04-R122-000006","2026-04-22","workspace-head","easy",7320005,"victory","energyliberation","energyliberation",14,315.12,0.2886,0.2148,0.0653,61,79,45,""
"R3-04K-B002-R122","R3-04-R122-000007","2026-04-22","workspace-head","easy",7320006,"victory","energyliberation","energyliberation",11,232.11,0.0936,0.0716,0.1531,76,155,118,""
"R3-04K-B002-R122","R3-04-R122-000008","2026-04-22","workspace-head","easy",7320007,"victory","energyliberation","energyliberation",7,160.22,0.1179,0.1103,0.2941,71,80,110,""
"R3-04K-B002-R122","R3-04-R122-000009","2026-04-22","workspace-head","easy",7320008,"victory","energyliberation","energyliberation",4,91.25,0.0393,0.0735,0.2301,69,136,136,""
"R3-04K-B002-R122","R3-04-R122-000010","2026-04-22","workspace-head","easy",7320009,"victory","energyliberation","energyliberation",9,192.85,0.3091,0.1202,0.1546,84,101,61,""
"R3-04K-B002-R122","R3-04-R122-000011","2026-04-22","workspace-head","easy",7320010,"timeout","attrition","",24,492.39,0.1671,0.1546,0.0847,73,112,89,""
"R3-04K-B002-R122","R3-04-R122-000012","2026-04-22","workspace-head","easy",7320011,"timeout","attrition","",24,621.24,0.1538,0.1225,0.3327,64,97,87,""
"R3-04K-B002-R122","R3-04-R122-000013","2026-04-22","workspace-head","easy",7320012,"victory","energyliberation","energyliberation",12,255.30,0.2825,0.0662,0.2651,49,132,57,""
"R3-04K-B002-R122","R3-04-R122-000014","2026-04-22","workspace-head","easy",7320013,"victory","energyliberation","energyliberation",20,511.80,0.3915,0.1065,0.1553,80,115,22,""
"R3-04K-B002-R122","R3-04-R122-000015","2026-04-22","workspace-head","easy",7320014,"victory","combined","combined",13,293.61,0.0484,0.1228,0.0386,72,119,130,""
"R3-04K-B002-R122","R3-04-R122-000016","2026-04-22","workspace-head","easy",7320015,"victory","energyliberation","energyliberation",11,230.06,0.4308,0.1738,0.1359,40,95,36,""
"R3-04K-B002-R122","R3-04-R122-000017","2026-04-22","workspace-head","easy",7320016,"victory","energyliberation","energyliberation",11,268.73,0.0858,0.1160,0.2060,57,133,113,""
"R3-04K-B002-R122","R3-04-R122-000018","2026-04-22","workspace-head","easy",7320017,"timeout","attrition","",24,594.16,0.2665,0.2430,0.2282,47,91,27,""
"R3-04K-B002-R122","R3-04-R122-000019","2026-04-22","workspace-head","easy",7320018,"timeout","attrition","",24,513.60,0.2662,0.1159,0.2806,64,111,49,""
"R3-04K-B002-R122","R3-04-R122-000020","2026-04-22","workspace-head","easy",7320019,"victory","energyliberation","energyliberation",11,230.36,0.0665,0.0575,0.1647,83,155,121,""
"R3-04K-B002-R122","R3-04-R122-000021","2026-04-22","workspace-head","easy",7320020,"victory","energyliberation","energyliberation",20,502.40,0.1329,0.1102,0.1589,39,127,91,""
"R3-04K-B002-R122","R3-04-R122-000022","2026-04-22","workspace-head","easy",7320021,"victory","energyliberation","energyliberation",12,245.36,0.3008,0.1851,0.0356,73,56,57,""
"R3-04K-B002-R122","R3-04-R122-000023","2026-04-22","workspace-head","easy",7320022,"victory","energyliberation","energyliberation",13,319.05,0.2358,0.1636,0.7704,85,107,70,""
"R3-04K-B002-R122","R3-04-R122-000024","2026-04-22","workspace-head","easy",7320023,"victory","combined","combined",18,379.11,0.1905,0.0681,0.1805,48,150,74,""
