batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04N-B001-R154","R3-04-R154-000001","2026-04-22","workspace-head","easy",9120000,"victory","energyliberation","energyliberation",16,403.00,0.2885,0.1917,0.1064,67,97,44,""
"R3-04N-B001-R154","R3-04-R154-000002","2026-04-22","workspace-head","easy",9120001,"timeout","attrition","",24,536.97,0.6064,0.1552,0.2974,43,121,0,""
"R3-04N-B001-R154","R3-04-R154-000003","2026-04-22","workspace-head","easy",9120002,"victory","energyliberation","energyliberation",10,252.72,0.2130,0.0758,0.0872,71,120,75,""
"R3-04N-B001-R154","R3-04-R154-000004","2026-04-22","workspace-head","easy",9120003,"victory","energyliberation","energyliberation",22,463.53,0.1940,0.2329,0.1047,61,107,79,""
"R3-04N-B001-R154","R3-04-R154-000005","2026-04-22","workspace-head","easy",9120004,"victory","energyliberation","energyliberation",8,172.09,0.0389,0.0567,0.1230,57,141,134,""
"R3-04N-B001-R154","R3-04-R154-000006","2026-04-22","workspace-head","easy",9120005,"victory","energyliberation","energyliberation",5,127.10,0.0000,0.0596,0.1508,71,108,150,""
"R3-04N-B001-R154","R3-04-R154-000007","2026-04-22","workspace-head","easy",9120006,"timeout","attrition","",24,600.89,0.5374,0.1542,0.2608,35,128,0,""
"R3-04N-B001-R154","R3-04-R154-000008","2026-04-22","workspace-head","easy",9120007,"timeout","attrition","",24,615.26,0.8696,0.1255,0.4129,39,130,0,""
"R3-04N-B001-R154","R3-04-R154-000009","2026-04-22","workspace-head","easy",9120008,"victory","energyliberation","energyliberation",17,361.06,0.8311,0.2409,0.1432,42,79,0,""
"R3-04N-B001-R154","R3-04-R154-000010","2026-04-22","workspace-head","easy",9120009,"victory","energyliberation","energyliberation",21,496.83,0.1648,0.1413,0.0704,49,87,82,""
"R3-04N-B001-R154","R3-04-R154-000011","2026-04-22","workspace-head","easy",9120010,"victory","energyliberation","energyliberation",10,258.82,0.0940,0.1833,0.8772,63,87,106,""
"R3-04N-B001-R154","R3-04-R154-000012","2026-04-22","workspace-head","easy",9120011,"victory","energyliberation","energyliberation",13,312.46,0.1119,0.0571,0.4392,72,152,109,""
"R3-04N-B001-R154","R3-04-R154-000013","2026-04-22","workspace-head","easy",9120012,"victory","energyliberation","energyliberation",7,169.60,0.0953,0.1282,0.1410,91,96,118,""
"R3-04N-B001-R154","R3-04-R154-000014","2026-04-22","workspace-head","easy",9120013,"victory","energyliberation","energyliberation",10,210.70,0.0529,0.0824,0.1058,83,111,131,""
"R3-04N-B001-R154","R3-04-R154-000015","2026-04-22","workspace-head","easy",9120014,"victory","energyliberation","energyliberation",6,128.27,0.1585,0.0457,0.0854,65,142,98,""
"R3-04N-B001-R154","R3-04-R154-000016","2026-04-22","workspace-head","easy",9120015,"timeout","attrition","",24,514.12,0.2430,0.1869,0.1132,52,89,65,""
"R3-04N-B001-R154","R3-04-R154-000017","2026-04-22","workspace-head","easy",9120016,"timeout","attrition","",24,584.73,0.1284,0.1721,0.2996,62,83,103,""
"R3-04N-B001-R154","R3-04-R154-000018","2026-04-22","workspace-head","easy",9120017,"timeout","attrition","",24,563.13,0.1594,0.0780,0.1294,56,127,94,""
"R3-04N-B001-R154","R3-04-R154-000019","2026-04-22","workspace-head","easy",9120018,"timeout","attrition","",24,556.32,0.3163,0.0726,0.7961,73,156,17,""
"R3-04N-B001-R154","R3-04-R154-000020","2026-04-22","workspace-head","easy",9120019,"victory","axisvictory","axisvictory",10,240.10,0.1349,0.1022,0.0524,58,138,85,""
"R3-04N-B001-R154","R3-04-R154-000021","2026-04-22","workspace-head","easy",9120020,"victory","energyliberation","energyliberation",10,202.01,0.1538,0.0999,0.0850,62,149,90,""
"R3-04N-B001-R154","R3-04-R154-000022","2026-04-22","workspace-head","easy",9120021,"victory","axisvictory","axisvictory",21,484.68,0.5615,0.0444,0.4359,24,172,0,""
"R3-04N-B001-R154","R3-04-R154-000023","2026-04-22","workspace-head","easy",9120022,"victory","axisvictory","axisvictory",17,426.41,0.0512,0.1562,0.1038,45,117,127,""
"R3-04N-B001-R154","R3-04-R154-000024","2026-04-22","workspace-head","easy",9120023,"victory","energyliberation","energyliberation",13,290.67,0.4677,0.1343,0.1013,68,116,12,""
"R3-04N-B001-R154","R3-04-R154-000025","2026-04-22","workspace-head","easy",9120024,"timeout","attrition","",24,562.11,0.3857,0.2035,0.1861,32,104,32,""
"R3-04N-B001-R154","R3-04-R154-000026","2026-04-22","workspace-head","easy",9120025,"victory","energyliberation","energyliberation",7,147.26,0.1752,0.0254,0.0964,61,150,98,""
"R3-04N-B001-R154","R3-04-R154-000027","2026-04-22","workspace-head","easy",9120026,"timeout","attrition","",24,499.48,0.2296,0.2147,0.2230,52,63,70,""
"R3-04N-B001-R154","R3-04-R154-000028","2026-04-22","workspace-head","easy",9120027,"timeout","attrition","",24,547.49,0.3730,0.1544,0.2641,25,118,42,""
"R3-04N-B001-R154","R3-04-R154-000029","2026-04-22","workspace-head","easy",9120028,"timeout","attrition","",24,599.47,0.2798,0.0763,0.0413,13,157,39,""
"R3-04N-B001-R154","R3-04-R154-000030","2026-04-22","workspace-head","easy",9120029,"victory","axisvictory","axisvictory",14,324.93,0.6467,0.1336,0.1552,58,119,0,""
"R3-04N-B001-R154","R3-04-R154-000031","2026-04-22","workspace-head","easy",9120030,"victory","energyliberation","energyliberation",9,197.45,0.1050,0.0615,0.1367,61,149,111,""
"R3-04N-B001-R154","R3-04-R154-000032","2026-04-22","workspace-head","easy",9120031,"timeout","attrition","",24,549.58,0.5307,0.0855,0.5420,45,142,0,""
"R3-04N-B001-R154","R3-04-R154-000033","2026-04-22","workspace-head","easy",9120032,"victory","energyliberation","energyliberation",2,44.93,0.0000,0.0209,0.0000,79,164,150,""
"R3-04N-B001-R154","R3-04-R154-000034","2026-04-22","workspace-head","easy",9120033,"victory","energyliberation","energyliberation",12,276.45,0.2480,0.0452,0.2497,69,161,51,""
"R3-04N-B001-R154","R3-04-R154-000035","2026-04-22","workspace-head","easy",9120034,"timeout","attrition","",24,617.03,0.0780,0.2529,0.1376,37,71,111,""
"R3-04N-B001-R154","R3-04-R154-000036","2026-04-22","workspace-head","easy",9120035,"victory","energyliberation","energyliberation",19,396.09,0.0492,0.0889,0.2300,69,142,119,""
"R3-04N-B001-R154","R3-04-R154-000037","2026-04-22","workspace-head","easy",9120036,"victory","energyliberation","energyliberation",11,266.73,0.4245,0.0940,0.1012,74,93,36,""
"R3-04N-B001-R154","R3-04-R154-000038","2026-04-22","workspace-head","easy",9120037,"victory","energyliberation","energyliberation",14,303.35,0.2464,0.1774,0.3159,76,89,55,""
"R3-04N-B001-R154","R3-04-R154-000039","2026-04-22","workspace-head","easy",9120038,"victory","energyliberation","energyliberation",13,295.75,0.1518,0.0812,0.0309,62,160,90,""
"R3-04N-B001-R154","R3-04-R154-000040","2026-04-22","workspace-head","easy",9120039,"timeout","attrition","",24,511.72,0.4049,0.2192,0.1954,57,36,8,""
"R3-04N-B001-R154","R3-04-R154-000041","2026-04-22","workspace-head","easy",9120040,"victory","axisvictory","axisvictory",6,132.76,0.4323,0.0278,0.1779,70,133,43,""
"R3-04N-B001-R154","R3-04-R154-000042","2026-04-22","workspace-head","easy",9120041,"victory","energyliberation","energyliberation",3,69.73,0.0712,0.0884,0.1780,80,153,126,""
"R3-04N-B001-R154","R3-04-R154-000043","2026-04-22","workspace-head","easy",9120042,"timeout","attrition","",24,513.40,0.1524,0.0925,0.7478,66,144,74,""
"R3-04N-B001-R154","R3-04-R154-000044","2026-04-22","workspace-head","easy",9120043,"defeat","military_collapse","",16,390.01,0.3864,0.0491,0.3542,4,158,15,""
"R3-04N-B001-R154","R3-04-R154-000045","2026-04-22","workspace-head","easy",9120044,"victory","energyliberation","energyliberation",9,200.86,0.3737,0.1066,0.0671,26,150,38,""
"R3-04N-B001-R154","R3-04-R154-000046","2026-04-22","workspace-head","easy",9120045,"victory","energyliberation","energyliberation",18,363.59,0.1607,0.1160,0.0570,28,97,90,""
"R3-04N-B001-R154","R3-04-R154-000047","2026-04-22","workspace-head","easy",9120046,"victory","axisvictory","axisvictory",12,293.14,0.1568,0.1460,0.0764,84,140,82,""
"R3-04N-B001-R154","R3-04-R154-000048","2026-04-22","workspace-head","easy",9120047,"timeout","attrition","",24,531.99,0.7431,0.1498,0.4237,16,129,0,""
"R3-04N-B001-R154","R3-04-R154-000049","2026-04-22","workspace-head","easy",9120048,"timeout","attrition","",24,525.48,0.2361,0.1422,0.0627,41,106,56,""
"R3-04N-B001-R154","R3-04-R154-000050","2026-04-22","workspace-head","easy",9120049,"victory","energyliberation","energyliberation",4,85.36,0.0393,0.0229,0.0309,89,165,124,""
"R3-04N-B001-R154","R3-04-R154-000051","2026-04-22","workspace-head","easy",9120050,"timeout","attrition","",24,492.48,0.4686,0.1314,0.1022,39,91,6,""
"R3-04N-B001-R154","R3-04-R154-000052","2026-04-22","workspace-head","easy",9120051,"timeout","attrition","",24,586.09,0.1539,0.0631,0.2452,81,152,85,""
"R3-04N-B001-R154","R3-04-R154-000053","2026-04-22","workspace-head","easy",9120052,"timeout","attrition","",24,529.03,0.4733,0.2604,0.1387,18,77,0,""
