batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04O-B002-R161","R3-04-R161-000001","2026-04-22","workspace-head","easy",9720000,"defeat","military_collapse","",24,606.31,0.7474,0.1317,0.2149,0,128,0,""
"R3-04O-B002-R161","R3-04-R161-000002","2026-04-22","workspace-head","easy",9720001,"victory","energyliberation","energyliberation",24,550.99,0.5233,0.1551,0.1111,55,108,0,""
"R3-04O-B002-R161","R3-04-R161-000003","2026-04-22","workspace-head","easy",9720002,"victory","energyliberation","energyliberation",19,449.57,0.3917,0.0962,0.1505,75,84,51,""
"R3-04O-B002-R161","R3-04-R161-000004","2026-04-22","workspace-head","easy",9720003,"victory","axisvictory","axisvictory",14,352.67,0.7186,0.0804,0.1834,65,144,0,""
"R3-04O-B002-R161","R3-04-R161-000005","2026-04-22","workspace-head","easy",9720004,"victory","axisvictory","axisvictory",7,141.78,0.0305,0.0848,0.0507,91,156,138,""
"R3-04O-B002-R161","R3-04-R161-000006","2026-04-22","workspace-head","easy",9720005,"victory","energyliberation","energyliberation",18,424.66,0.3068,0.1253,0.2338,61,138,41,""
"R3-04O-B002-R161","R3-04-R161-000007","2026-04-22","workspace-head","easy",9720006,"timeout","attrition","",24,517.23,0.1701,0.3111,0.4384,63,71,84,""
"R3-04O-B002-R161","R3-04-R161-000008","2026-04-22","workspace-head","easy",9720007,"victory","energyliberation","energyliberation",13,276.68,0.3596,0.0810,0.0530,48,157,28,""
"R3-04O-B002-R161","R3-04-R161-000009","2026-04-22","workspace-head","easy",9720008,"timeout","attrition","",24,535.67,0.2894,0.1226,0.6367,61,135,52,""
"R3-04O-B002-R161","R3-04-R161-000010","2026-04-22","workspace-head","easy",9720009,"timeout","attrition","",24,566.03,0.5849,0.1304,0.7742,43,127,0,""
"R3-04O-B002-R161","R3-04-R161-000011","2026-04-22","workspace-head","easy",9720010,"timeout","attrition","",24,516.37,1.0282,0.1936,0.1906,48,84,0,""
"R3-04O-B002-R161","R3-04-R161-000012","2026-04-22","workspace-head","easy",9720011,"victory","axisvictory","axisvictory",10,259.24,0.2454,0.1904,0.3287,60,79,70,""
