batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04P-B001-R163","R3-04-R163-000001","2026-04-22","workspace-head","easy",10320000,"victory","axisvictory","axisvictory",16,334.67,0.1284,0.0970,0.0475,33,133,76,""
"R3-04P-B001-R163","R3-04-R163-000002","2026-04-22","workspace-head","easy",10320001,"victory","energyliberation","energyliberation",14,315.81,0.1061,0.1534,0.1496,76,107,108,""
"R3-04P-B001-R163","R3-04-R163-000003","2026-04-22","workspace-head","easy",10320002,"victory","energyliberation","energyliberation",15,310.82,0.3934,0.1528,0.1090,39,120,0,""
"R3-04P-B001-R163","R3-04-R163-000004","2026-04-22","workspace-head","easy",10320003,"victory","energyliberation","energyliberation",3,65.15,0.0613,0.0254,0.0556,52,166,95,""
"R3-04P-B001-R163","R3-04-R163-000005","2026-04-22","workspace-head","easy",10320004,"timeout","attrition","",24,531.31,0.1827,0.1634,0.1304,46,77,63,""
"R3-04P-B001-R163","R3-04-R163-000006","2026-04-22","workspace-head","easy",10320005,"victory","energyliberation","energyliberation",15,382.87,0.6797,0.1194,0.1289,27,137,0,""
"R3-04P-B001-R163","R3-04-R163-000007","2026-04-22","workspace-head","easy",10320006,"victory","energyliberation","energyliberation",8,195.72,0.2192,0.1307,0.1919,65,142,76,""
"R3-04P-B001-R163","R3-04-R163-000008","2026-04-22","workspace-head","easy",10320007,"victory","energyliberation","energyliberation",10,248.94,0.1392,0.0528,0.2104,47,117,96,""
"R3-04P-B001-R163","R3-04-R163-000009","2026-04-22","workspace-head","easy",10320008,"timeout","attrition","",24,489.92,0.1485,0.1424,0.0835,31,119,84,""
"R3-04P-B001-R163","R3-04-R163-000010","2026-04-22","workspace-head","easy",10320009,"victory","axisvictory","axisvictory",14,320.88,0.5763,0.1371,0.0747,47,100,17,""
"R3-04P-B001-R163","R3-04-R163-000011","2026-04-22","workspace-head","easy",10320010,"timeout","attrition","",24,614.45,0.6027,0.1024,0.1688,73,139,0,""
"R3-04P-B001-R163","R3-04-R163-000012","2026-04-22","workspace-head","easy",10320011,"victory","energyliberation","energyliberation",20,505.67,0.2556,0.5013,0.1741,83,34,56,""
"R3-04P-B001-R163","R3-04-R163-000013","2026-04-22","workspace-head","easy",10320012,"victory","energyliberation","energyliberation",7,166.93,0.0868,0.1060,0.0968,57,142,114,""
"R3-04P-B001-R163","R3-04-R163-000014","2026-04-22","workspace-head","easy",10320013,"victory","energyliberation","energyliberation",5,105.59,0.1069,0.0426,0.0730,63,146,106,""
"R3-04P-B001-R163","R3-04-R163-000015","2026-04-22","workspace-head","easy",10320014,"victory","energyliberation","energyliberation",10,246.87,0.1462,0.1619,0.0669,61,50,93,""
"R3-04P-B001-R163","R3-04-R163-000016","2026-04-22","workspace-head","easy",10320015,"timeout","attrition","",24,571.88,0.1363,0.3390,0.5907,64,43,85,""
