batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04Q-B001-R166","R3-04-R166-000001","2026-04-22","workspace-head","easy",10920000,"defeat","military_collapse","",22,511.01,0.5212,0.1720,0.3321,0,76,5,""
"R3-04Q-B001-R166","R3-04-R166-000002","2026-04-22","workspace-head","easy",10920001,"victory","energyliberation","energyliberation",10,251.83,0.8151,0.0487,0.7954,74,145,0,""
"R3-04Q-B001-R166","R3-04-R166-000003","2026-04-22","workspace-head","easy",10920002,"defeat","internal_division","",24,613.24,0.3926,0.0809,0.3704,16,138,17,""
"R3-04Q-B001-R166","R3-04-R166-000004","2026-04-22","workspace-head","easy",10920003,"victory","energyliberation","energyliberation",10,223.01,0.1469,0.2630,0.2024,75,71,75,""
"R3-04Q-B001-R166","R3-04-R166-000005","2026-04-22","workspace-head","easy",10920004,"victory","energyliberation","energyliberation",16,348.96,0.1308,0.1293,0.5959,55,128,92,""
"R3-04Q-B001-R166","R3-04-R166-000006","2026-04-22","workspace-head","easy",10920005,"victory","energyliberation","energyliberation",23,575.27,0.0782,0.1201,0.2442,52,134,122,""
"R3-04Q-B001-R166","R3-04-R166-000007","2026-04-22","workspace-head","easy",10920006,"victory","energyliberation","energyliberation",11,228.55,0.8885,0.0343,0.2213,62,178,0,""
"R3-04Q-B001-R166","R3-04-R166-000008","2026-04-22","workspace-head","easy",10920007,"victory","energyliberation","energyliberation",17,427.15,0.3732,0.2862,0.7184,53,51,12,""
"R3-04Q-B001-R166","R3-04-R166-000009","2026-04-22","workspace-head","easy",10920008,"victory","energyliberation","energyliberation",11,227.90,0.3935,0.0947,0.0352,35,146,45,""
"R3-04Q-B001-R166","R3-04-R166-000010","2026-04-22","workspace-head","easy",10920009,"timeout","attrition","",24,501.44,0.1603,0.1676,0.1897,56,65,65,""
"R3-04Q-B001-R166","R3-04-R166-000011","2026-04-22","workspace-head","easy",10920010,"defeat","military_collapse","",14,288.69,0.6279,0.1665,0.1482,4,113,0,""
"R3-04Q-B001-R166","R3-04-R166-000012","2026-04-22","workspace-head","easy",10920011,"victory","axisvictory","axisvictory",6,138.32,0.0000,0.0609,0.1761,93,131,150,""
"R3-04Q-B001-R166","R3-04-R166-000013","2026-04-22","workspace-head","easy",10920012,"victory","axisvictory","axisvictory",8,198.23,0.0580,0.1421,0.0885,79,104,130,""
"R3-04Q-B001-R166","R3-04-R166-000014","2026-04-22","workspace-head","easy",10920013,"defeat","military_collapse","",21,485.66,0.5317,0.0944,0.1060,0,135,0,""
"R3-04Q-B001-R166","R3-04-R166-000015","2026-04-22","workspace-head","easy",10920014,"victory","energyliberation","energyliberation",10,211.11,0.1955,0.1450,0.0698,40,83,69,""
"R3-04Q-B001-R166","R3-04-R166-000016","2026-04-22","workspace-head","easy",10920015,"timeout","attrition","",24,613.32,0.2697,0.1627,0.5055,38,117,17,""
"R3-04Q-B001-R166","R3-04-R166-000017","2026-04-22","workspace-head","easy",10920016,"victory","axisvictory","axisvictory",19,387.69,0.2829,0.0925,0.2067,62,139,33,""
"R3-04Q-B001-R166","R3-04-R166-000018","2026-04-22","workspace-head","easy",10920017,"victory","energyliberation","energyliberation",21,503.66,0.5109,0.1401,0.2157,59,94,0,""
"R3-04Q-B001-R166","R3-04-R166-000019","2026-04-22","workspace-head","easy",10920018,"victory","energyliberation","energyliberation",9,196.94,0.8443,0.1045,0.0366,65,105,0,""
"R3-04Q-B001-R166","R3-04-R166-000020","2026-04-22","workspace-head","easy",10920019,"timeout","attrition","",24,557.76,0.6742,0.2326,0.3155,46,77,0,""
"R3-04Q-B001-R166","R3-04-R166-000021","2026-04-22","workspace-head","easy",10920020,"victory","energyliberation","energyliberation",18,433.13,0.5600,0.0644,0.0797,22,164,0,""
"R3-04Q-B001-R166","R3-04-R166-000022","2026-04-22","workspace-head","easy",10920021,"victory","energyliberation","energyliberation",9,212.61,0.1880,0.0903,0.3344,72,121,86,""
"R3-04Q-B001-R166","R3-04-R166-000023","2026-04-22","workspace-head","easy",10920022,"victory","axisvictory","axisvictory",5,123.32,0.1118,0.0665,0.1725,56,155,109,""
"R3-04Q-B001-R166","R3-04-R166-000024","2026-04-22","workspace-head","easy",10920023,"victory","energyliberation","energyliberation",3,67.15,0.0289,0.0639,0.1861,57,157,141,""
"R3-04Q-B001-R166","R3-04-R166-000025","2026-04-22","workspace-head","easy",10920024,"victory","energyliberation","energyliberation",24,487.63,1.0992,0.2122,0.2481,12,55,0,""
"R3-04Q-B001-R166","R3-04-R166-000026","2026-04-22","workspace-head","easy",10920025,"timeout","attrition","",24,599.25,0.8470,0.1736,0.1613,69,92,0,""
