batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04R-B001-R170","R3-04-R170-000001","2026-04-22","workspace-head","easy",11520000,"timeout","attrition","",24,529.54,0.3855,0.2017,0.1854,73,66,34,""
"R3-04R-B001-R170","R3-04-R170-000002","2026-04-22","workspace-head","easy",11520001,"timeout","attrition","",24,522.02,0.7374,0.1816,0.2084,66,98,0,""
"R3-04R-B001-R170","R3-04-R170-000003","2026-04-22","workspace-head","easy",11520002,"victory","axisvictory","axisvictory",11,245.37,0.1388,0.0617,0.1410,73,169,87,""
"R3-04R-B001-R170","R3-04-R170-000004","2026-04-22","workspace-head","easy",11520003,"timeout","attrition","",24,604.38,0.0876,0.1475,0.1219,48,119,109,""
"R3-04R-B001-R170","R3-04-R170-000005","2026-04-22","workspace-head","easy",11520004,"victory","energyliberation","energyliberation",12,269.04,0.1394,0.1139,0.2352,93,132,99,""
"R3-04R-B001-R170","R3-04-R170-000006","2026-04-22","workspace-head","easy",11520005,"victory","energyliberation","energyliberation",9,204.77,0.1128,0.0927,0.0554,69,151,108,""
"R3-04R-B001-R170","R3-04-R170-000007","2026-04-22","workspace-head","easy",11520006,"timeout","attrition","",24,600.82,0.1752,0.1422,0.2033,65,108,73,""
"R3-04R-B001-R170","R3-04-R170-000008","2026-04-22","workspace-head","easy",11520007,"timeout","attrition","",24,565.30,0.1785,0.2177,0.3104,32,78,61,""
"R3-04R-B001-R170","R3-04-R170-000009","2026-04-22","workspace-head","easy",11520008,"timeout","attrition","",24,564.08,0.6476,0.0880,0.1374,24,141,0,""
"R3-04R-B001-R170","R3-04-R170-000010","2026-04-22","workspace-head","easy",11520009,"victory","axisvictory","axisvictory",14,295.08,0.0430,0.0701,0.1695,59,165,128,""
"R3-04R-B001-R170","R3-04-R170-000011","2026-04-22","workspace-head","easy",11520010,"timeout","attrition","",24,605.49,0.8870,0.1549,0.1196,18,104,0,""
"R3-04R-B001-R170","R3-04-R170-000012","2026-04-22","workspace-head","easy",11520011,"victory","energyliberation","energyliberation",13,303.60,0.2392,0.3467,0.7583,75,52,75,""
"R3-04R-B001-R170","R3-04-R170-000013","2026-04-22","workspace-head","easy",11520012,"victory","energyliberation","energyliberation",10,205.26,0.2420,0.1145,0.1774,73,112,57,""
"R3-04R-B001-R170","R3-04-R170-000014","2026-04-22","workspace-head","easy",11520013,"timeout","attrition","",24,494.39,0.4679,0.1743,0.3207,47,99,0,""
"R3-04R-B001-R170","R3-04-R170-000015","2026-04-22","workspace-head","easy",11520014,"defeat","military_collapse","",16,330.79,0.0542,0.1080,0.0897,0,131,126,""
"R3-04R-B001-R170","R3-04-R170-000016","2026-04-22","workspace-head","easy",11520015,"victory","energyliberation","energyliberation",7,166.90,0.0686,0.0309,0.2353,64,155,126,""
"R3-04R-B001-R170","R3-04-R170-000017","2026-04-22","workspace-head","easy",11520016,"victory","axisvictory","axisvictory",12,245.11,0.0745,0.0818,0.0467,70,139,115,""
"R3-04R-B001-R170","R3-04-R170-000018","2026-04-22","workspace-head","easy",11520017,"victory","energyliberation","energyliberation",24,529.50,0.1225,0.1463,0.1371,42,113,84,""
"R3-04R-B001-R170","R3-04-R170-000019","2026-04-22","workspace-head","easy",11520018,"victory","energyliberation","energyliberation",20,467.83,0.2384,0.0832,0.3213,52,150,64,""
"R3-04R-B001-R170","R3-04-R170-000020","2026-04-22","workspace-head","easy",11520019,"victory","energyliberation","energyliberation",7,161.32,0.0832,0.0325,0.0000,67,157,120,""
"R3-04R-B001-R170","R3-04-R170-000021","2026-04-22","workspace-head","easy",11520020,"timeout","attrition","",24,509.39,0.2003,0.1808,0.0967,20,103,52,""
"R3-04R-B001-R170","R3-04-R170-000022","2026-04-22","workspace-head","easy",11520021,"victory","energyliberation","energyliberation",8,205.55,0.0281,0.5014,0.1051,81,47,138,""
"R3-04R-B001-R170","R3-04-R170-000023","2026-04-22","workspace-head","easy",11520022,"victory","axisvictory","axisvictory",10,226.78,0.1691,0.0547,0.1304,62,158,68,""
"R3-04R-B001-R170","R3-04-R170-000024","2026-04-22","workspace-head","easy",11520023,"victory","energyliberation","energyliberation",7,147.71,0.0141,0.1277,0.1582,55,119,144,""
"R3-04R-B001-R170","R3-04-R170-000025","2026-04-22","workspace-head","easy",11520024,"timeout","attrition","",24,574.78,0.4667,0.1808,0.1738,69,93,13,""
"R3-04R-B001-R170","R3-04-R170-000026","2026-04-22","workspace-head","easy",11520025,"victory","energyliberation","energyliberation",8,196.85,0.0000,0.1134,0.0203,71,149,150,""
"R3-04R-B001-R170","R3-04-R170-000027","2026-04-22","workspace-head","easy",11520026,"victory","axisvictory","axisvictory",11,274.13,0.3498,0.0554,0.0615,72,162,18,""
"R3-04R-B001-R170","R3-04-R170-000028","2026-04-22","workspace-head","easy",11520027,"defeat","military_collapse","",21,533.89,0.1028,0.0800,0.0851,4,113,108,""
"R3-04R-B001-R170","R3-04-R170-000029","2026-04-22","workspace-head","easy",11520028,"victory","energyliberation","energyliberation",22,522.37,0.2480,0.1648,0.1802,37,130,55,""
"R3-04R-B001-R170","R3-04-R170-000030","2026-04-22","workspace-head","easy",11520029,"victory","axisvictory","axisvictory",10,235.37,0.2365,0.0780,0.1655,71,138,80,""
"R3-04R-B001-R170","R3-04-R170-000031","2026-04-22","workspace-head","easy",11520030,"timeout","attrition","",24,553.43,0.1460,0.4059,0.1403,51,23,85,""
"R3-04R-B001-R170","R3-04-R170-000032","2026-04-22","workspace-head","easy",11520031,"victory","energyliberation","energyliberation",4,86.52,0.0000,0.0514,0.0345,90,139,150,""
"R3-04R-B001-R170","R3-04-R170-000033","2026-04-22","workspace-head","easy",11520032,"timeout","attrition","",24,567.82,0.5453,0.1270,0.0771,70,95,0,""
"R3-04R-B001-R170","R3-04-R170-000034","2026-04-22","workspace-head","easy",11520033,"timeout","attrition","",24,561.50,0.5803,0.6279,0.1597,33,7,1,""
"R3-04R-B001-R170","R3-04-R170-000035","2026-04-22","workspace-head","easy",11520034,"victory","energyliberation","energyliberation",5,128.43,0.0270,0.0472,0.1618,60,119,140,""
"R3-04R-B001-R170","R3-04-R170-000036","2026-04-22","workspace-head","easy",11520035,"victory","energyliberation","energyliberation",3,77.58,0.0819,0.0684,0.1009,82,156,91,""
"R3-04R-B001-R170","R3-04-R170-000037","2026-04-22","workspace-head","easy",11520036,"timeout","attrition","",24,592.45,0.4704,0.0934,0.2164,50,143,15,""
"R3-04R-B001-R170","R3-04-R170-000038","2026-04-22","workspace-head","easy",11520037,"victory","energyliberation","energyliberation",12,310.06,0.0177,0.0957,0.7036,55,108,143,""
"R3-04R-B001-R170","R3-04-R170-000039","2026-04-22","workspace-head","easy",11520038,"victory","energyliberation","energyliberation",10,221.89,0.1013,0.1803,0.1250,33,125,112,""
"R3-04R-B001-R170","R3-04-R170-000040","2026-04-22","workspace-head","easy",11520039,"victory","energyliberation","energyliberation",6,153.54,0.0297,0.0919,0.0553,81,151,138,""
"R3-04R-B001-R170","R3-04-R170-000041","2026-04-22","workspace-head","easy",11520040,"victory","energyliberation","energyliberation",14,351.26,0.1190,0.1206,0.0876,68,92,109,""
"R3-04R-B001-R170","R3-04-R170-000042","2026-04-22","workspace-head","easy",11520041,"timeout","attrition","",24,500.91,1.0306,0.2043,0.5129,70,93,0,""
"R3-04R-B001-R170","R3-04-R170-000043","2026-04-22","workspace-head","easy",11520042,"timeout","attrition","",24,614.30,0.4382,0.0585,0.1240,60,154,2,""
"R3-04R-B001-R170","R3-04-R170-000044","2026-04-22","workspace-head","easy",11520043,"timeout","attrition","",24,521.74,0.2899,0.1551,0.3370,43,123,49,""
"R3-04R-B001-R170","R3-04-R170-000045","2026-04-22","workspace-head","easy",11520044,"timeout","attrition","",24,512.87,0.1858,0.0732,0.1595,50,155,74,""
"R3-04R-B001-R170","R3-04-R170-000046","2026-04-22","workspace-head","easy",11520045,"victory","energyliberation","energyliberation",12,289.52,0.0822,0.1366,0.2296,77,136,110,""
"R3-04R-B001-R170","R3-04-R170-000047","2026-04-22","workspace-head","easy",11520046,"defeat","economic_collapse","",17,414.06,0.9976,0.6178,0.4060,39,0,0,""
"R3-04R-B001-R170","R3-04-R170-000048","2026-04-22","workspace-head","easy",11520047,"timeout","attrition","",24,524.82,0.2123,0.3247,0.2733,59,63,68,""
"R3-04R-B001-R170","R3-04-R170-000049","2026-04-22","workspace-head","easy",11520048,"victory","energyliberation","energyliberation",6,143.55,0.0935,0.0779,0.1041,73,125,116,""
"R3-04R-B001-R170","R3-04-R170-000050","2026-04-22","workspace-head","easy",11520049,"victory","energyliberation","energyliberation",15,381.15,0.1932,0.0674,0.3894,66,151,78,""
"R3-04R-B001-R170","R3-04-R170-000051","2026-04-22","workspace-head","easy",11520050,"timeout","attrition","",24,612.22,0.8408,0.2589,0.2302,58,54,0,""
"R3-04R-B001-R170","R3-04-R170-000052","2026-04-22","workspace-head","easy",11520051,"victory","energyliberation","energyliberation",15,361.58,0.1444,0.1227,0.2265,46,116,99,""
"R3-04R-B001-R170","R3-04-R170-000053","2026-04-22","workspace-head","easy",11520052,"victory","energyliberation","energyliberation",11,241.09,0.4345,0.0915,0.1429,60,145,47,""
"R3-04R-B001-R170","R3-04-R170-000054","2026-04-22","workspace-head","easy",11520053,"victory","energyliberation","energyliberation",21,453.48,0.1889,0.0478,0.1745,5,172,74,""
"R3-04R-B001-R170","R3-04-R170-000055","2026-04-22","workspace-head","easy",11520054,"victory","energyliberation","energyliberation",5,121.04,0.0117,0.0891,0.0597,66,123,146,""
"R3-04R-B001-R170","R3-04-R170-000056","2026-04-22","workspace-head","easy",11520055,"timeout","attrition","",24,508.15,0.2309,0.1583,0.1536,71,83,61,""
"R3-04R-B001-R170","R3-04-R170-000057","2026-04-22","workspace-head","easy",11520056,"victory","axisvictory","axisvictory",7,177.99,0.5501,0.0631,0.1050,62,102,20,""
"R3-04R-B001-R170","R3-04-R170-000058","2026-04-22","workspace-head","easy",11520057,"timeout","attrition","",24,531.81,0.8004,0.1527,0.1647,12,118,0,""
"R3-04R-B001-R170","R3-04-R170-000059","2026-04-22","workspace-head","easy",11520058,"victory","energyliberation","energyliberation",13,260.38,0.0816,0.0791,0.0970,76,111,107,""
"R3-04R-B001-R170","R3-04-R170-000060","2026-04-22","workspace-head","easy",11520059,"victory","energyliberation","energyliberation",10,203.37,0.2008,0.1067,0.1169,78,116,72,""
"R3-04R-B001-R170","R3-04-R170-000061","2026-04-22","workspace-head","easy",11520060,"victory","energyliberation","energyliberation",8,201.93,0.0106,0.0567,0.0374,83,156,146,""
"R3-04R-B001-R170","R3-04-R170-000062","2026-04-22","workspace-head","easy",11520061,"victory","energyliberation","energyliberation",22,451.64,0.3128,0.1679,0.1744,71,72,23,""
"R3-04R-B001-R170","R3-04-R170-000063","2026-04-22","workspace-head","easy",11520062,"timeout","attrition","",24,584.59,0.3721,0.1006,0.1143,36,133,36,""
"R3-04R-B001-R170","R3-04-R170-000064","2026-04-22","workspace-head","easy",11520063,"victory","energyliberation","energyliberation",8,183.29,0.1886,0.0785,0.0636,41,158,81,""
"R3-04R-B001-R170","R3-04-R170-000065","2026-04-22","workspace-head","easy",11520064,"victory","axisvictory","axisvictory",6,124.16,0.1663,0.0603,0.1484,92,124,97,""
"R3-04R-B001-R170","R3-04-R170-000066","2026-04-22","workspace-head","easy",11520065,"victory","energyliberation","energyliberation",4,94.37,0.0536,0.0778,0.0933,90,143,132,""
"R3-04R-B001-R170","R3-04-R170-000067","2026-04-22","workspace-head","easy",11520066,"defeat","military_collapse","",13,324.34,0.0994,0.0679,0.0570,1,145,111,""
