batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04S-B001-R173","R3-04-R173-000001","2026-04-22","workspace-head","easy",12120000,"timeout","attrition","",24,529.83,0.7941,0.1896,0.0681,50,113,0,""
"R3-04S-B001-R173","R3-04-R173-000002","2026-04-22","workspace-head","easy",12120001,"timeout","attrition","",24,498.92,0.1811,0.0887,0.3276,55,141,79,""
"R3-04S-B001-R173","R3-04-R173-000003","2026-04-22","workspace-head","easy",12120002,"victory","energyliberation","energyliberation",13,318.62,0.1931,0.3467,0.1407,11,33,73,""
"R3-04S-B001-R173","R3-04-R173-000004","2026-04-22","workspace-head","easy",12120003,"timeout","attrition","",24,513.99,0.2024,0.1589,0.0792,55,118,76,""
"R3-04S-B001-R173","R3-04-R173-000005","2026-04-22","workspace-head","easy",12120004,"victory","energyliberation","energyliberation",13,295.16,0.2416,0.1869,0.1015,62,79,72,""
"R3-04S-B001-R173","R3-04-R173-000006","2026-04-22","workspace-head","easy",12120005,"timeout","attrition","",24,578.42,0.5969,0.3532,0.0383,34,23,0,""
"R3-04S-B001-R173","R3-04-R173-000007","2026-04-22","workspace-head","easy",12120006,"timeout","attrition","",24,488.96,0.1284,0.2235,0.3465,68,102,103,""
"R3-04S-B001-R173","R3-04-R173-000008","2026-04-22","workspace-head","easy",12120007,"victory","axisvictory","axisvictory",5,106.23,0.0000,0.0387,0.0814,66,122,150,""
"R3-04S-B001-R173","R3-04-R173-000009","2026-04-22","workspace-head","easy",12120008,"victory","energyliberation","energyliberation",18,398.90,0.1399,0.1109,0.0354,38,137,102,""
"R3-04S-B001-R173","R3-04-R173-000010","2026-04-22","workspace-head","easy",12120009,"victory","energyliberation","energyliberation",14,286.39,0.8992,0.1096,0.1644,75,106,0,""
"R3-04S-B001-R173","R3-04-R173-000011","2026-04-22","workspace-head","easy",12120010,"victory","energyliberation","energyliberation",15,332.40,0.1915,0.0480,0.2424,66,126,63,""
"R3-04S-B001-R173","R3-04-R173-000012","2026-04-22","workspace-head","easy",12120011,"timeout","attrition","",24,572.16,0.2212,0.0630,0.1347,67,151,40,""
"R3-04S-B001-R173","R3-04-R173-000013","2026-04-22","workspace-head","easy",12120012,"victory","energyliberation","energyliberation",14,343.37,0.2640,0.0671,0.1154,76,139,63,""
"R3-04S-B001-R173","R3-04-R173-000014","2026-04-22","workspace-head","easy",12120013,"victory","axisvictory","axisvictory",10,222.84,0.0716,0.0745,0.1351,73,93,124,""
"R3-04S-B001-R173","R3-04-R173-000015","2026-04-22","workspace-head","easy",12120014,"victory","energyliberation","energyliberation",3,60.26,0.1845,0.0403,0.0000,77,154,102,""
"R3-04S-B001-R173","R3-04-R173-000016","2026-04-22","workspace-head","easy",12120015,"victory","axisvictory","axisvictory",11,269.76,0.1879,0.0478,0.0420,21,125,75,""
"R3-04S-B001-R173","R3-04-R173-000017","2026-04-22","workspace-head","easy",12120016,"victory","energyliberation","energyliberation",3,63.28,0.0321,0.0827,0.0183,72,107,140,""
"R3-04S-B001-R173","R3-04-R173-000018","2026-04-22","workspace-head","easy",12120017,"timeout","attrition","",24,552.53,0.1085,0.1145,0.2419,40,124,99,""
"R3-04S-B001-R173","R3-04-R173-000019","2026-04-22","workspace-head","easy",12120018,"defeat","military_collapse","",17,408.18,0.1399,0.0897,0.9735,4,96,92,""
"R3-04S-B001-R173","R3-04-R173-000020","2026-04-22","workspace-head","easy",12120019,"timeout","attrition","",24,520.35,0.3868,0.1634,0.2344,46,121,16,""
