batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04T-B001-R177","R3-04-R177-000001","2026-04-22","workspace-head","easy",12720000,"timeout","attrition","",24,526.67,0.1884,0.0624,0.2608,21,127,72,""
"R3-04T-B001-R177","R3-04-R177-000002","2026-04-22","workspace-head","easy",12720001,"timeout","attrition","",24,545.57,0.5502,0.0534,0.4086,60,165,2,""
"R3-04T-B001-R177","R3-04-R177-000003","2026-04-22","workspace-head","easy",12720002,"victory","energyliberation","energyliberation",4,91.26,0.0944,0.0253,0.0546,49,94,119,""
"R3-04T-B001-R177","R3-04-R177-000004","2026-04-22","workspace-head","easy",12720003,"victory","energyliberation","energyliberation",17,415.46,0.2323,0.1747,0.2713,76,65,68,""
"R3-04T-B001-R177","R3-04-R177-000005","2026-04-22","workspace-head","easy",12720004,"victory","energyliberation","energyliberation",11,246.25,0.1085,0.0730,0.2967,53,124,106,""
"R3-04T-B001-R177","R3-04-R177-000006","2026-04-22","workspace-head","easy",12720005,"victory","energyliberation","energyliberation",24,531.95,0.1125,0.1259,0.1169,65,139,103,""
"R3-04T-B001-R177","R3-04-R177-000007","2026-04-22","workspace-head","easy",12720006,"timeout","attrition","",24,502.76,0.2228,0.1888,0.3218,71,103,63,""
"R3-04T-B001-R177","R3-04-R177-000008","2026-04-22","workspace-head","easy",12720007,"victory","axisvictory","axisvictory",4,82.07,0.0000,0.0313,0.1205,72,173,150,""
"R3-04T-B001-R177","R3-04-R177-000009","2026-04-22","workspace-head","easy",12720008,"victory","energyliberation","energyliberation",11,276.58,0.0235,0.0699,0.0436,63,146,139,""
"R3-04T-B001-R177","R3-04-R177-000010","2026-04-22","workspace-head","easy",12720009,"victory","energyliberation","energyliberation",21,535.72,0.4999,0.1424,0.7399,61,105,18,""
"R3-04T-B001-R177","R3-04-R177-000011","2026-04-22","workspace-head","easy",12720010,"victory","axisvictory","axisvictory",10,232.55,0.1436,0.1653,0.2671,95,81,95,""
"R3-04T-B001-R177","R3-04-R177-000012","2026-04-22","workspace-head","easy",12720011,"timeout","attrition","",24,579.21,0.2208,0.1125,0.1155,88,139,52,""
"R3-04T-B001-R177","R3-04-R177-000013","2026-04-22","workspace-head","easy",12720012,"timeout","attrition","",24,596.86,0.4133,0.0968,0.1984,39,131,0,""
"R3-04T-B001-R177","R3-04-R177-000014","2026-04-22","workspace-head","easy",12720013,"victory","energyliberation","energyliberation",16,334.03,0.7865,0.1436,0.0951,58,80,1,""
"R3-04T-B001-R177","R3-04-R177-000015","2026-04-22","workspace-head","easy",12720014,"victory","axisvictory","axisvictory",13,282.07,0.2500,0.0677,0.3222,52,133,51,""
"R3-04T-B001-R177","R3-04-R177-000016","2026-04-22","workspace-head","easy",12720015,"victory","energyliberation","energyliberation",13,291.91,0.2684,0.0702,0.1181,72,93,75,""
"R3-04T-B001-R177","R3-04-R177-000017","2026-04-22","workspace-head","easy",12720016,"victory","energyliberation","energyliberation",9,188.32,0.3796,0.0885,0.1177,68,107,55,""
"R3-04T-B001-R177","R3-04-R177-000018","2026-04-22","workspace-head","easy",12720017,"victory","energyliberation","energyliberation",3,72.75,0.0000,0.1043,0.0387,59,124,150,""
"R3-04T-B001-R177","R3-04-R177-000019","2026-04-22","workspace-head","easy",12720018,"victory","axisvictory","axisvictory",12,280.77,0.3145,0.0503,0.0228,68,171,24,""
"R3-04T-B001-R177","R3-04-R177-000020","2026-04-22","workspace-head","easy",12720019,"timeout","attrition","",24,491.62,0.0857,0.1543,0.4878,62,110,109,""
"R3-04T-B001-R177","R3-04-R177-000021","2026-04-22","workspace-head","easy",12720020,"victory","energyliberation","energyliberation",9,181.14,0.1030,0.0594,0.1253,76,118,111,""
"R3-04T-B001-R177","R3-04-R177-000022","2026-04-22","workspace-head","easy",12720021,"timeout","attrition","",24,495.46,0.1285,0.1704,0.2167,44,109,101,""
