batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04U-B001-R179","R3-04-R179-000001","2026-04-22","workspace-head","easy",13320000,"victory","axisvictory","axisvictory",21,478.73,0.2661,0.0756,0.5775,58,155,60,""
"R3-04U-B001-R179","R3-04-R179-000002","2026-04-22","workspace-head","easy",13320001,"victory","energyliberation","energyliberation",3,61.79,0.0797,0.1161,0.0691,75,103,126,""
"R3-04U-B001-R179","R3-04-R179-000003","2026-04-22","workspace-head","easy",13320002,"victory","energyliberation","energyliberation",11,231.44,0.1593,0.1816,0.2490,86,87,90,""
"R3-04U-B001-R179","R3-04-R179-000004","2026-04-22","workspace-head","easy",13320003,"victory","energyliberation","energyliberation",3,73.40,0.0000,0.0141,0.1777,60,150,150,""
"R3-04U-B001-R179","R3-04-R179-000005","2026-04-22","workspace-head","easy",13320004,"victory","energyliberation","energyliberation",14,342.95,0.1527,0.0867,0.0896,61,123,80,""
"R3-04U-B001-R179","R3-04-R179-000006","2026-04-22","workspace-head","easy",13320005,"victory","energyliberation","energyliberation",16,381.26,0.1279,0.2991,0.1012,73,80,104,""
"R3-04U-B001-R179","R3-04-R179-000007","2026-04-22","workspace-head","easy",13320006,"victory","energyliberation","energyliberation",12,267.93,0.0784,0.1325,0.0950,72,78,119,""
"R3-04U-B001-R179","R3-04-R179-000008","2026-04-22","workspace-head","easy",13320007,"victory","energyliberation","energyliberation",14,347.95,0.6507,0.0704,0.0851,76,164,0,""
"R3-04U-B001-R179","R3-04-R179-000009","2026-04-22","workspace-head","easy",13320008,"victory","combined","combined",12,254.08,0.2188,0.1049,0.1031,36,102,81,""
"R3-04U-B001-R179","R3-04-R179-000010","2026-04-22","workspace-head","easy",13320009,"victory","energyliberation","energyliberation",8,168.31,0.1728,0.0519,0.0985,24,142,94,""
"R3-04U-B001-R179","R3-04-R179-000011","2026-04-22","workspace-head","easy",13320010,"victory","energyliberation","energyliberation",8,183.60,0.0611,0.0846,0.0953,75,126,128,""
"R3-04U-B001-R179","R3-04-R179-000012","2026-04-22","workspace-head","easy",13320011,"victory","energyliberation","energyliberation",5,128.69,0.0171,0.0526,0.0117,71,123,144,""
"R3-04U-B001-R179","R3-04-R179-000013","2026-04-22","workspace-head","easy",13320012,"victory","energyliberation","energyliberation",24,582.37,0.8116,0.1477,0.2820,85,133,0,""
"R3-04U-B001-R179","R3-04-R179-000014","2026-04-22","workspace-head","easy",13320013,"victory","energyliberation","energyliberation",6,121.57,0.0050,0.0645,0.1063,68,143,148,""
"R3-04U-B001-R179","R3-04-R179-000015","2026-04-22","workspace-head","easy",13320014,"timeout","attrition","",24,604.56,0.8879,0.1708,0.6895,66,89,0,""
"R3-04U-B001-R179","R3-04-R179-000016","2026-04-22","workspace-head","easy",13320015,"timeout","attrition","",24,545.44,0.2945,0.1522,0.0963,44,118,48,""
"R3-04U-B001-R179","R3-04-R179-000017","2026-04-22","workspace-head","easy",13320016,"victory","energyliberation","energyliberation",7,141.25,0.0582,0.0381,0.0668,84,136,126,""
"R3-04U-B001-R179","R3-04-R179-000018","2026-04-22","workspace-head","easy",13320017,"victory","axisvictory","axisvictory",10,220.08,0.0887,0.0637,0.1809,46,161,116,""
"R3-04U-B001-R179","R3-04-R179-000019","2026-04-22","workspace-head","easy",13320018,"victory","axisvictory","axisvictory",13,265.44,0.0793,0.0978,0.1582,64,105,118,""
"R3-04U-B001-R179","R3-04-R179-000020","2026-04-22","workspace-head","easy",13320019,"victory","energyliberation","energyliberation",5,106.16,0.0000,0.0711,0.1063,77,114,150,""
