batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04V-B001-R181","R3-04-R181-000001","2026-04-22","workspace-head","easy",13920000,"timeout","attrition","",24,537.91,0.1198,0.1969,0.1369,67,92,100,""
"R3-04V-B001-R181","R3-04-R181-000002","2026-04-22","workspace-head","easy",13920001,"victory","energyliberation","energyliberation",12,243.73,0.1411,0.0895,0.0635,55,109,90,""
"R3-04V-B001-R181","R3-04-R181-000003","2026-04-22","workspace-head","easy",13920002,"victory","combined","combined",5,128.22,0.0000,0.0242,0.0080,77,128,150,""
"R3-04V-B001-R181","R3-04-R181-000004","2026-04-22","workspace-head","easy",13920003,"victory","axisvictory","axisvictory",8,197.70,0.0896,0.0395,0.0424,69,178,120,""
"R3-04V-B001-R181","R3-04-R181-000005","2026-04-22","workspace-head","easy",13920004,"timeout","attrition","",24,524.84,0.3725,0.0990,0.1031,41,126,0,""
"R3-04V-B001-R181","R3-04-R181-000006","2026-04-22","workspace-head","easy",13920005,"defeat","internal_division","",21,424.86,1.4758,0.1314,0.2407,9,121,0,""
"R3-04V-B001-R181","R3-04-R181-000007","2026-04-22","workspace-head","easy",13920006,"victory","energyliberation","energyliberation",6,141.76,0.0477,0.0575,0.0797,79,171,133,""
"R3-04V-B001-R181","R3-04-R181-000008","2026-04-22","workspace-head","easy",13920007,"victory","axisvictory","axisvictory",9,232.75,0.0153,0.0881,0.1328,65,117,144,""
"R3-04V-B001-R181","R3-04-R181-000009","2026-04-22","workspace-head","easy",13920008,"timeout","attrition","",24,506.80,0.9515,0.2002,0.5406,38,94,0,""
"R3-04V-B001-R181","R3-04-R181-000010","2026-04-22","workspace-head","easy",13920009,"victory","energyliberation","energyliberation",3,77.94,0.0583,0.0447,0.0240,57,139,130,""
"R3-04V-B001-R181","R3-04-R181-000011","2026-04-22","workspace-head","easy",13920010,"timeout","attrition","",24,503.87,0.0704,0.0999,0.0677,72,144,109,""
"R3-04V-B001-R181","R3-04-R181-000012","2026-04-22","workspace-head","easy",13920011,"victory","energyliberation","energyliberation",7,173.76,0.0188,0.0840,0.1494,76,128,142,""
"R3-04V-B001-R181","R3-04-R181-000013","2026-04-22","workspace-head","easy",13920012,"timeout","attrition","",24,550.96,0.2352,0.3817,0.1723,79,41,65,""
"R3-04V-B001-R181","R3-04-R181-000014","2026-04-22","workspace-head","easy",13920013,"timeout","attrition","",24,597.68,0.0697,0.0939,0.4706,70,152,116,""
"R3-04V-B001-R181","R3-04-R181-000015","2026-04-22","workspace-head","easy",13920014,"victory","energyliberation","energyliberation",9,212.48,0.0555,0.1222,0.1302,60,91,126,""
"R3-04V-B001-R181","R3-04-R181-000016","2026-04-22","workspace-head","easy",13920015,"victory","energyliberation","energyliberation",18,393.32,0.3245,0.1438,0.1978,58,98,47,""
"R3-04V-B001-R181","R3-04-R181-000017","2026-04-22","workspace-head","easy",13920016,"victory","energyliberation","energyliberation",15,368.22,0.4375,0.0790,0.2269,47,122,37,""
"R3-04V-B001-R181","R3-04-R181-000018","2026-04-22","workspace-head","easy",13920017,"timeout","attrition","",24,604.09,0.2371,0.0522,0.0830,57,159,43,""
"R3-04V-B001-R181","R3-04-R181-000019","2026-04-22","workspace-head","easy",13920018,"timeout","attrition","",24,522.62,0.8770,0.0975,0.1011,53,120,0,""
"R3-04V-B001-R181","R3-04-R181-000020","2026-04-22","workspace-head","easy",13920019,"timeout","attrition","",24,587.98,0.6092,0.1154,0.1372,19,140,0,""
"R3-04V-B001-R181","R3-04-R181-000021","2026-04-22","workspace-head","easy",13920020,"defeat","military_collapse","",18,367.50,0.8849,0.0583,0.2452,1,154,0,""
"R3-04V-B001-R181","R3-04-R181-000022","2026-04-22","workspace-head","easy",13920021,"victory","axisvictory","axisvictory",22,532.21,0.6184,0.2912,0.2472,63,31,0,""
"R3-04V-B001-R181","R3-04-R181-000023","2026-04-22","workspace-head","easy",13920022,"timeout","attrition","",24,610.85,0.2437,0.1060,0.6950,13,135,61,""
"R3-04V-B001-R181","R3-04-R181-000024","2026-04-22","workspace-head","easy",13920023,"victory","energyliberation","energyliberation",11,232.24,0.0463,0.0790,0.2405,74,143,127,""
"R3-04V-B001-R181","R3-04-R181-000025","2026-04-22","workspace-head","easy",13920024,"victory","energyliberation","energyliberation",5,128.18,0.1462,0.1123,0.0520,66,107,105,""
"R3-04V-B001-R181","R3-04-R181-000026","2026-04-22","workspace-head","easy",13920025,"defeat","military_collapse","",15,313.58,0.6215,0.2567,0.5648,0,59,0,""
"R3-04V-B001-R181","R3-04-R181-000027","2026-04-22","workspace-head","easy",13920026,"timeout","attrition","",24,504.99,0.1797,0.1039,0.1901,83,98,85,""
"R3-04V-B001-R181","R3-04-R181-000028","2026-04-22","workspace-head","easy",13920027,"timeout","attrition","",24,489.19,0.1557,0.2332,0.0355,68,57,87,""
"R3-04V-B001-R181","R3-04-R181-000029","2026-04-22","workspace-head","easy",13920028,"victory","energyliberation","energyliberation",12,294.16,0.0562,0.1044,0.1450,64,94,127,""
"R3-04V-B001-R181","R3-04-R181-000030","2026-04-22","workspace-head","easy",13920029,"victory","energyliberation","energyliberation",11,236.65,0.3223,0.0897,0.0940,45,143,61,""
"R3-04V-B001-R181","R3-04-R181-000031","2026-04-22","workspace-head","easy",13920030,"timeout","attrition","",24,585.41,0.4529,0.0789,0.2047,69,106,0,""
"R3-04V-B001-R181","R3-04-R181-000032","2026-04-22","workspace-head","easy",13920031,"timeout","attrition","",24,542.56,0.1066,0.2426,0.2315,10,88,104,""
"R3-04V-B001-R181","R3-04-R181-000033","2026-04-22","workspace-head","easy",13920032,"victory","energyliberation","energyliberation",15,300.69,0.5117,0.1055,0.1148,49,120,32,""
"R3-04V-B001-R181","R3-04-R181-000034","2026-04-22","workspace-head","easy",13920033,"timeout","attrition","",24,530.21,0.5127,0.1729,0.3606,23,115,1,""
"R3-04V-B001-R181","R3-04-R181-000035","2026-04-22","workspace-head","easy",13920034,"victory","energyliberation","energyliberation",7,149.84,0.0759,0.0537,0.1330,77,145,116,""
"R3-04V-B001-R181","R3-04-R181-000036","2026-04-22","workspace-head","easy",13920035,"victory","energyliberation","energyliberation",8,194.53,0.0555,0.0534,0.7916,73,116,128,""
"R3-04V-B001-R181","R3-04-R181-000037","2026-04-22","workspace-head","easy",13920036,"victory","energyliberation","energyliberation",17,408.40,0.1227,0.1371,0.1487,68,112,98,""
"R3-04V-B001-R181","R3-04-R181-000038","2026-04-22","workspace-head","easy",13920037,"timeout","attrition","",24,612.73,0.2344,0.1891,0.1342,54,92,62,""
"R3-04V-B001-R181","R3-04-R181-000039","2026-04-22","workspace-head","easy",13920038,"timeout","attrition","",24,494.97,0.5677,0.1793,0.3246,42,119,0,""
"R3-04V-B001-R181","R3-04-R181-000040","2026-04-22","workspace-head","easy",13920039,"victory","energyliberation","energyliberation",10,226.71,0.0307,0.1415,0.1698,58,65,139,""
"R3-04V-B001-R181","R3-04-R181-000041","2026-04-22","workspace-head","easy",13920040,"victory","energyliberation","energyliberation",7,157.09,0.1225,0.0698,0.0458,58,157,108,""
"R3-04V-B001-R181","R3-04-R181-000042","2026-04-22","workspace-head","easy",13920041,"victory","energyliberation","energyliberation",16,375.23,0.5820,0.3186,0.2383,41,36,0,""
"R3-04V-B001-R181","R3-04-R181-000043","2026-04-22","workspace-head","easy",13920042,"timeout","attrition","",24,591.09,0.5934,0.1764,0.1732,40,82,0,""
"R3-04V-B001-R181","R3-04-R181-000044","2026-04-22","workspace-head","easy",13920043,"timeout","attrition","",24,515.97,0.8240,0.1340,0.1051,66,95,0,""
"R3-04V-B001-R181","R3-04-R181-000045","2026-04-22","workspace-head","easy",13920044,"victory","energyliberation","energyliberation",23,488.60,0.1193,0.1753,0.1221,59,100,93,""
"R3-04V-B001-R181","R3-04-R181-000046","2026-04-22","workspace-head","easy",13920045,"victory","axisvictory","axisvictory",10,249.89,0.0592,0.1081,0.2319,78,121,122,""
"R3-04V-B001-R181","R3-04-R181-000047","2026-04-22","workspace-head","easy",13920046,"victory","energyliberation","energyliberation",8,167.15,0.0425,0.0930,0.0344,83,107,134,""
"R3-04V-B001-R181","R3-04-R181-000048","2026-04-22","workspace-head","easy",13920047,"victory","axisvictory","axisvictory",17,359.09,0.3380,0.0961,0.3157,6,138,40,""
"R3-04V-B001-R181","R3-04-R181-000049","2026-04-22","workspace-head","easy",13920048,"victory","energyliberation","energyliberation",12,264.46,0.2993,0.0604,0.1192,58,123,54,""
"R3-04V-B001-R181","R3-04-R181-000050","2026-04-22","workspace-head","easy",13920049,"timeout","attrition","",24,524.79,0.5950,0.1767,0.0955,78,117,0,""
"R3-04V-B001-R181","R3-04-R181-000051","2026-04-22","workspace-head","easy",13920050,"victory","energyliberation","energyliberation",9,226.66,0.1196,0.0896,0.3009,51,143,114,""
"R3-04V-B001-R181","R3-04-R181-000052","2026-04-22","workspace-head","easy",13920051,"defeat","military_collapse","",21,495.74,0.3138,0.0590,0.1560,0,165,36,""
"R3-04V-B001-R181","R3-04-R181-000053","2026-04-22","workspace-head","easy",13920052,"victory","energyliberation","energyliberation",9,227.02,0.1006,0.0627,0.1214,62,123,106,""
"R3-04V-B001-R181","R3-04-R181-000054","2026-04-22","workspace-head","easy",13920053,"victory","energyliberation","energyliberation",7,178.96,0.0965,0.1100,0.1135,67,111,110,""
"R3-04V-B001-R181","R3-04-R181-000055","2026-04-22","workspace-head","easy",13920054,"victory","energyliberation","energyliberation",3,68.72,0.0549,0.0535,0.0748,71,160,111,""
"R3-04V-B001-R181","R3-04-R181-000056","2026-04-22","workspace-head","easy",13920055,"victory","axisvictory","axisvictory",10,215.21,0.0670,0.1198,0.1107,73,104,122,""
"R3-04V-B001-R181","R3-04-R181-000057","2026-04-22","workspace-head","easy",13920056,"timeout","attrition","",24,545.50,0.0841,0.3008,0.1688,26,60,112,""
"R3-04V-B001-R181","R3-04-R181-000058","2026-04-22","workspace-head","easy",13920057,"victory","energyliberation","energyliberation",18,393.13,0.3261,0.0631,0.2008,21,119,45,""
"R3-04V-B001-R181","R3-04-R181-000059","2026-04-22","workspace-head","easy",13920058,"victory","energyliberation","energyliberation",9,190.01,0.0452,0.0406,0.1871,79,174,132,""
"R3-04V-B001-R181","R3-04-R181-000060","2026-04-22","workspace-head","easy",13920059,"victory","energyliberation","energyliberation",16,396.54,0.1791,0.0662,0.1573,90,132,89,""
"R3-04V-B001-R181","R3-04-R181-000061","2026-04-22","workspace-head","easy",13920060,"timeout","attrition","",24,519.32,0.1812,0.1219,0.0738,74,114,57,""
"R3-04V-B001-R181","R3-04-R181-000062","2026-04-22","workspace-head","easy",13920061,"victory","axisvictory","axisvictory",18,437.27,0.2180,0.0399,0.2291,52,177,55,""
"R3-04V-B001-R181","R3-04-R181-000063","2026-04-22","workspace-head","easy",13920062,"victory","axisvictory","axisvictory",7,148.46,0.2162,0.0707,0.1270,69,96,85,""
"R3-04V-B001-R181","R3-04-R181-000064","2026-04-22","workspace-head","easy",13920063,"victory","energyliberation","energyliberation",4,100.04,0.1002,0.1063,0.0690,82,125,116,""
"R3-04V-B001-R181","R3-04-R181-000065","2026-04-22","workspace-head","easy",13920064,"timeout","attrition","",24,622.74,0.2836,0.0764,0.2534,72,128,34,""
"R3-04V-B001-R181","R3-04-R181-000066","2026-04-22","workspace-head","easy",13920065,"victory","energyliberation","energyliberation",9,221.29,0.0021,0.0788,0.8121,70,97,149,""
"R3-04V-B001-R181","R3-04-R181-000067","2026-04-22","workspace-head","easy",13920066,"victory","axisvictory","axisvictory",6,154.31,0.0718,0.0724,0.0481,72,120,122,""
"R3-04V-B001-R181","R3-04-R181-000068","2026-04-22","workspace-head","easy",13920067,"victory","energyliberation","energyliberation",4,96.94,0.0633,0.4478,0.0582,62,30,108,""
"R3-04V-B001-R181","R3-04-R181-000069","2026-04-22","workspace-head","easy",13920068,"timeout","attrition","",24,559.56,0.3280,0.1247,0.2656,53,118,32,""
"R3-04V-B001-R181","R3-04-R181-000070","2026-04-22","workspace-head","easy",13920069,"victory","energyliberation","energyliberation",16,358.36,0.5636,0.0954,0.3033,79,115,12,""
"R3-04V-B001-R181","R3-04-R181-000071","2026-04-22","workspace-head","easy",13920070,"victory","combined","combined",8,163.30,0.1781,0.0728,0.2117,37,126,87,""
"R3-04V-B001-R181","R3-04-R181-000072","2026-04-22","workspace-head","easy",13920071,"timeout","attrition","",24,510.26,0.3352,0.1277,0.2121,23,144,26,""
"R3-04V-B001-R181","R3-04-R181-000073","2026-04-22","workspace-head","easy",13920072,"timeout","attrition","",24,513.14,0.4343,0.1980,0.0684,52,87,18,""
"R3-04V-B001-R181","R3-04-R181-000074","2026-04-22","workspace-head","easy",13920073,"victory","energyliberation","energyliberation",3,76.62,0.0031,0.0265,0.0231,86,136,149,""
"R3-04V-B001-R181","R3-04-R181-000075","2026-04-22","workspace-head","easy",13920074,"victory","axisvictory","axisvictory",9,185.32,0.0148,0.0553,0.0353,93,152,143,""
"R3-04V-B001-R181","R3-04-R181-000076","2026-04-22","workspace-head","easy",13920075,"victory","energyliberation","energyliberation",7,140.86,0.1022,0.0616,0.1186,71,145,112,""
"R3-04V-B001-R181","R3-04-R181-000077","2026-04-22","workspace-head","easy",13920076,"timeout","attrition","",24,515.31,0.1386,0.1872,0.6192,37,51,99,""
"R3-04V-B001-R181","R3-04-R181-000078","2026-04-22","workspace-head","easy",13920077,"victory","energyliberation","energyliberation",12,254.85,1.0210,0.0960,0.1232,66,148,0,""
"R3-04V-B001-R181","R3-04-R181-000079","2026-04-22","workspace-head","easy",13920078,"timeout","attrition","",24,575.57,0.1259,0.1460,0.7968,24,104,88,""
"R3-04V-B001-R181","R3-04-R181-000080","2026-04-22","workspace-head","easy",13920079,"defeat","military_collapse","",18,380.89,0.3717,0.3357,0.0900,4,35,38,""
"R3-04V-B001-R181","R3-04-R181-000081","2026-04-22","workspace-head","easy",13920080,"defeat","military_collapse","",20,454.65,0.2855,0.1125,0.2257,4,111,26,""
"R3-04V-B001-R181","R3-04-R181-000082","2026-04-22","workspace-head","easy",13920081,"timeout","attrition","",24,489.29,0.2063,0.1656,0.3353,54,112,68,""
"R3-04V-B001-R181","R3-04-R181-000083","2026-04-22","workspace-head","easy",13920082,"timeout","attrition","",24,498.98,0.4868,0.2243,0.2082,65,104,16,""
"R3-04V-B001-R181","R3-04-R181-000084","2026-04-22","workspace-head","easy",13920083,"timeout","attrition","",24,482.75,0.2133,0.2055,0.5727,69,114,70,""
"R3-04V-B001-R181","R3-04-R181-000085","2026-04-22","workspace-head","easy",13920084,"victory","energyliberation","energyliberation",7,150.26,0.0221,0.0356,0.0573,42,171,141,""
"R3-04V-B001-R181","R3-04-R181-000086","2026-04-22","workspace-head","easy",13920085,"victory","energyliberation","energyliberation",4,92.76,0.1566,0.1006,0.1892,62,126,84,""
"R3-04V-B001-R181","R3-04-R181-000087","2026-04-22","workspace-head","easy",13920086,"victory","energyliberation","energyliberation",16,409.83,0.1541,0.1345,0.0929,47,97,86,""
"R3-04V-B001-R181","R3-04-R181-000088","2026-04-22","workspace-head","easy",13920087,"victory","energyliberation","energyliberation",6,149.71,0.0259,0.0353,0.1044,65,149,140,""
"R3-04V-B001-R181","R3-04-R181-000089","2026-04-22","workspace-head","easy",13920088,"timeout","attrition","",24,504.21,0.1553,0.2204,0.1771,70,78,85,""
"R3-04V-B001-R181","R3-04-R181-000090","2026-04-22","workspace-head","easy",13920089,"timeout","attrition","",24,598.83,0.1026,0.1938,0.0625,12,68,93,""
"R3-04V-B001-R181","R3-04-R181-000091","2026-04-22","workspace-head","easy",13920090,"victory","energyliberation","energyliberation",22,440.19,0.4876,0.2398,0.1575,71,68,0,""
"R3-04V-B001-R181","R3-04-R181-000092","2026-04-22","workspace-head","easy",13920091,"victory","energyliberation","energyliberation",8,160.71,0.1333,0.0243,0.1581,52,152,93,""
"R3-04V-B001-R181","R3-04-R181-000093","2026-04-22","workspace-head","easy",13920092,"victory","energyliberation","energyliberation",6,128.39,0.0299,0.0531,0.0263,90,176,139,""
"R3-04V-B001-R181","R3-04-R181-000094","2026-04-22","workspace-head","easy",13920093,"timeout","attrition","",24,594.08,0.2893,0.0841,0.5755,57,135,34,""
"R3-04V-B001-R181","R3-04-R181-000095","2026-04-22","workspace-head","easy",13920094,"victory","axisvictory","axisvictory",13,302.78,0.4174,0.0714,0.0889,38,151,35,""
"R3-04V-B001-R181","R3-04-R181-000096","2026-04-22","workspace-head","easy",13920095,"defeat","military_collapse","",21,491.15,1.2830,0.2956,0.2369,1,58,0,""
"R3-04V-B001-R181","R3-04-R181-000097","2026-04-22","workspace-head","easy",13920096,"victory","energyliberation","energyliberation",7,150.39,0.1993,0.0566,0.1450,51,113,80,""
"R3-04V-B001-R181","R3-04-R181-000098","2026-04-22","workspace-head","easy",13920097,"timeout","attrition","",24,552.73,0.5010,0.1503,0.0580,75,127,0,""
"R3-04V-B001-R181","R3-04-R181-000099","2026-04-22","workspace-head","easy",13920098,"timeout","attrition","",24,529.69,0.7314,0.0926,0.0501,32,132,0,""
"R3-04V-B001-R181","R3-04-R181-000100","2026-04-22","workspace-head","easy",13920099,"timeout","attrition","",24,555.64,0.1192,0.2243,0.1586,52,66,85,""
"R3-04V-B001-R181","R3-04-R181-000101","2026-04-22","workspace-head","easy",13920100,"timeout","attrition","",24,593.87,0.2237,0.1426,0.1603,48,90,71,""
"R3-04V-B001-R181","R3-04-R181-000102","2026-04-22","workspace-head","easy",13920101,"victory","energyliberation","energyliberation",5,127.32,0.0787,0.1020,0.0574,73,137,119,""
"R3-04V-B001-R181","R3-04-R181-000103","2026-04-22","workspace-head","easy",13920102,"victory","energyliberation","energyliberation",5,106.35,0.0000,0.1233,0.0431,93,120,150,""
