batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04W-B001-R185","R3-04-R185-000001","2026-04-22","workspace-head","easy",14520000,"timeout","attrition","",24,505.69,0.8902,0.1606,0.5779,36,93,0,""
"R3-04W-B001-R185","R3-04-R185-000002","2026-04-22","workspace-head","easy",14520001,"victory","axisvictory","axisvictory",12,301.54,0.0702,0.3321,0.1381,79,60,117,""
"R3-04W-B001-R185","R3-04-R185-000003","2026-04-22","workspace-head","easy",14520002,"victory","energyliberation","energyliberation",15,383.53,0.1881,0.1205,0.4401,63,145,75,""
"R3-04W-B001-R185","R3-04-R185-000004","2026-04-22","workspace-head","easy",14520003,"timeout","attrition","",24,572.93,0.2301,0.2660,0.2092,63,95,39,""
"R3-04W-B001-R185","R3-04-R185-000005","2026-04-22","workspace-head","easy",14520004,"victory","energyliberation","energyliberation",9,230.63,0.1111,0.0610,0.3981,93,118,108,""
"R3-04W-B001-R185","R3-04-R185-000006","2026-04-22","workspace-head","easy",14520005,"victory","energyliberation","energyliberation",12,267.00,0.1262,0.1187,0.4200,83,103,93,""
"R3-04W-B001-R185","R3-04-R185-000007","2026-04-22","workspace-head","easy",14520006,"timeout","attrition","",24,619.01,0.1847,0.1472,0.1439,41,125,81,""
"R3-04W-B001-R185","R3-04-R185-000008","2026-04-22","workspace-head","easy",14520007,"victory","energyliberation","energyliberation",10,258.32,0.0302,0.1271,0.0745,66,88,135,""
"R3-04W-B001-R185","R3-04-R185-000009","2026-04-22","workspace-head","easy",14520008,"victory","energyliberation","energyliberation",9,209.04,0.0303,0.1610,0.0522,90,111,136,""
"R3-04W-B001-R185","R3-04-R185-000010","2026-04-22","workspace-head","easy",14520009,"timeout","attrition","",24,489.63,0.3567,0.1127,0.0772,64,144,43,""
"R3-04W-B001-R185","R3-04-R185-000011","2026-04-22","workspace-head","easy",14520010,"victory","energyliberation","energyliberation",11,253.96,0.1923,0.1065,0.1337,66,93,68,""
"R3-04W-B001-R185","R3-04-R185-000012","2026-04-22","workspace-head","easy",14520011,"victory","energyliberation","energyliberation",9,193.84,0.6814,0.1369,0.1217,67,126,15,""
