batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04X-B001-R188","R3-04-R188-000001","2026-04-22","workspace-head","easy",14520000,"victory","energyliberation","energyliberation",10,229.72,0.6912,0.0902,0.0353,41,118,12,""
"R3-04X-B001-R188","R3-04-R188-000002","2026-04-22","workspace-head","easy",14520001,"timeout","attrition","",24,598.36,0.8943,0.1463,0.5949,26,94,0,""
"R3-04X-B001-R188","R3-04-R188-000003","2026-04-22","workspace-head","easy",14520002,"victory","axisvictory","axisvictory",20,487.08,0.2015,0.1449,0.2163,63,94,50,""
"R3-04X-B001-R188","R3-04-R188-000004","2026-04-22","workspace-head","easy",14520003,"victory","energyliberation","energyliberation",16,358.33,0.1346,0.1001,0.1644,77,103,103,""
"R3-04X-B001-R188","R3-04-R188-000005","2026-04-22","workspace-head","easy",14520004,"victory","energyliberation","energyliberation",13,305.53,0.0822,0.0878,0.1694,32,109,118,""
"R3-04X-B001-R188","R3-04-R188-000006","2026-04-22","workspace-head","easy",14520005,"timeout","attrition","",24,495.05,0.7953,0.1189,0.3721,69,102,0,""
"R3-04X-B001-R188","R3-04-R188-000007","2026-04-22","workspace-head","easy",14520006,"victory","energyliberation","energyliberation",12,243.20,0.1401,0.0675,0.4495,41,123,89,""
"R3-04X-B001-R188","R3-04-R188-000008","2026-04-22","workspace-head","easy",14520007,"victory","energyliberation","energyliberation",13,291.14,0.2998,0.0551,0.1647,67,128,63,""
"R3-04X-B001-R188","R3-04-R188-000009","2026-04-22","workspace-head","easy",14520008,"victory","energyliberation","energyliberation",15,306.83,0.5993,0.2463,0.2064,84,99,16,""
"R3-04X-B001-R188","R3-04-R188-000010","2026-04-22","workspace-head","easy",14520009,"victory","energyliberation","energyliberation",9,208.90,0.9793,0.0716,0.1443,81,148,0,""
"R3-04X-B001-R188","R3-04-R188-000011","2026-04-22","workspace-head","easy",14520010,"timeout","attrition","",24,567.82,0.1812,0.0788,0.1452,25,95,81,""
"R3-04X-B001-R188","R3-04-R188-000012","2026-04-22","workspace-head","easy",14520011,"victory","energyliberation","energyliberation",4,83.42,0.0175,0.0780,0.0524,73,109,144,""
"R3-04X-B001-R188","R3-04-R188-000013","2026-04-22","workspace-head","easy",14520012,"victory","energyliberation","energyliberation",10,226.11,0.0661,0.0483,0.0607,75,154,117,""
"R3-04X-B001-R188","R3-04-R188-000014","2026-04-22","workspace-head","easy",14520013,"victory","energyliberation","energyliberation",5,102.01,0.0894,0.0644,0.1345,76,130,117,""
"R3-04X-B001-R188","R3-04-R188-000015","2026-04-22","workspace-head","easy",14520014,"victory","energyliberation","energyliberation",15,350.81,0.1108,0.1075,0.1830,51,129,86,""
"R3-04X-B001-R188","R3-04-R188-000016","2026-04-22","workspace-head","easy",14520015,"victory","energyliberation","energyliberation",5,118.29,0.0621,0.0756,0.1932,22,144,114,""
"R3-04X-B001-R188","R3-04-R188-000017","2026-04-22","workspace-head","easy",14520016,"timeout","attrition","",24,539.75,0.9658,0.1727,0.2285,21,83,0,""
"R3-04X-B001-R188","R3-04-R188-000018","2026-04-22","workspace-head","easy",14520017,"victory","energyliberation","energyliberation",5,124.07,0.2309,0.1197,0.0351,69,148,75,""
"R3-04X-B001-R188","R3-04-R188-000019","2026-04-22","workspace-head","easy",14520018,"victory","energyliberation","energyliberation",11,254.33,0.1123,0.1322,0.0205,73,95,107,""
"R3-04X-B001-R188","R3-04-R188-000020","2026-04-22","workspace-head","easy",14520019,"victory","axisvictory","axisvictory",13,282.75,0.1800,0.0740,0.0943,74,144,92,""
"R3-04X-B001-R188","R3-04-R188-000021","2026-04-22","workspace-head","easy",14520020,"victory","energyliberation","energyliberation",11,251.56,0.2965,0.0995,0.5573,37,113,60,""
"R3-04X-B001-R188","R3-04-R188-000022","2026-04-22","workspace-head","easy",14520021,"timeout","attrition","",24,573.35,0.5268,0.1949,0.7224,52,97,0,""
"R3-04X-B001-R188","R3-04-R188-000023","2026-04-22","workspace-head","easy",14520022,"victory","energyliberation","energyliberation",7,174.41,0.0902,0.0847,0.0396,85,130,119,""
"R3-04X-B001-R188","R3-04-R188-000024","2026-04-22","workspace-head","easy",14520023,"victory","axisvictory","axisvictory",6,137.70,0.1374,0.0485,0.1226,84,176,103,""
"R3-04X-B001-R188","R3-04-R188-000025","2026-04-22","workspace-head","easy",14520024,"defeat","military_collapse","",24,617.64,0.6956,0.1445,0.5441,0,95,0,""
