batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04Y-B001-R191","R3-04-R191-000001","2026-04-22","workspace-head","easy",14520000,"timeout","attrition","",24,518.46,1.0218,0.1286,0.5534,50,97,0,""
"R3-04Y-B001-R191","R3-04-R191-000002","2026-04-22","workspace-head","easy",14520001,"timeout","attrition","",24,598.36,0.8943,0.1463,0.5949,26,94,0,""
"R3-04Y-B001-R191","R3-04-R191-000003","2026-04-22","workspace-head","easy",14520002,"timeout","attrition","",24,525.57,0.1936,0.0689,0.4712,41,157,44,""
"R3-04Y-B001-R191","R3-04-R191-000004","2026-04-22","workspace-head","easy",14520003,"victory","energyliberation","energyliberation",12,309.07,0.0193,0.0948,0.1298,77,103,141,""
"R3-04Y-B001-R191","R3-04-R191-000005","2026-04-22","workspace-head","easy",14520004,"victory","energyliberation","energyliberation",20,518.53,0.1596,0.2202,0.1548,55,71,81,""
"R3-04Y-B001-R191","R3-04-R191-000006","2026-04-22","workspace-head","easy",14520005,"timeout","attrition","",24,495.05,0.9010,0.1216,0.2748,64,102,0,""
"R3-04Y-B001-R191","R3-04-R191-000007","2026-04-22","workspace-head","easy",14520006,"victory","energyliberation","energyliberation",10,239.65,0.0701,0.0692,0.3490,47,123,119,""
"R3-04Y-B001-R191","R3-04-R191-000008","2026-04-22","workspace-head","easy",14520007,"victory","energyliberation","energyliberation",12,271.81,0.1441,0.1460,0.1231,70,126,97,""
"R3-04Y-B001-R191","R3-04-R191-000009","2026-04-22","workspace-head","easy",14520008,"victory","energyliberation","energyliberation",7,155.29,0.2911,0.0710,0.0246,79,110,62,""
"R3-04Y-B001-R191","R3-04-R191-000010","2026-04-22","workspace-head","easy",14520009,"victory","energyliberation","energyliberation",9,208.90,0.6869,0.0753,0.1280,81,144,21,""
"R3-04Y-B001-R191","R3-04-R191-000011","2026-04-22","workspace-head","easy",14520010,"victory","energyliberation","energyliberation",17,356.48,0.0604,0.2219,0.2023,70,114,118,""
"R3-04Y-B001-R191","R3-04-R191-000012","2026-04-22","workspace-head","easy",14520011,"victory","energyliberation","energyliberation",6,123.17,0.0405,0.1386,0.1520,73,89,137,""
"R3-04Y-B001-R191","R3-04-R191-000013","2026-04-22","workspace-head","easy",14520012,"timeout","attrition","",24,548.98,0.7593,0.1228,0.1227,76,138,0,""
"R3-04Y-B001-R191","R3-04-R191-000014","2026-04-22","workspace-head","easy",14520013,"victory","energyliberation","energyliberation",7,167.55,0.0856,0.0996,0.1437,80,130,117,""
"R3-04Y-B001-R191","R3-04-R191-000015","2026-04-22","workspace-head","easy",14520014,"timeout","attrition","",24,558.57,0.5035,0.1270,0.1805,64,130,6,""
"R3-04Y-B001-R191","R3-04-R191-000016","2026-04-22","workspace-head","easy",14520015,"victory","energyliberation","energyliberation",8,168.66,0.0562,0.0512,0.1639,19,144,126,""
"R3-04Y-B001-R191","R3-04-R191-000017","2026-04-22","workspace-head","easy",14520016,"timeout","attrition","",24,620.38,0.8175,0.2399,0.3366,46,77,0,""
"R3-04Y-B001-R191","R3-04-R191-000018","2026-04-22","workspace-head","easy",14520017,"victory","energyliberation","energyliberation",5,124.07,0.2309,0.1197,0.0351,69,148,75,""
