batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04Z-B001-R195","R3-04-R195-000001","2026-04-22","workspace-head","easy",14520000,"victory","energyliberation","energyliberation",8,169.62,0.0724,0.1304,0.0601,62,113,106,""
"R3-04Z-B001-R195","R3-04-R195-000002","2026-04-22","workspace-head","easy",14520001,"victory","axisvictory","axisvictory",15,352.83,0.1627,0.1524,0.1244,79,83,75,""
"R3-04Z-B001-R195","R3-04-R195-000003","2026-04-22","workspace-head","easy",14520002,"victory","energyliberation","energyliberation",11,259.58,0.0978,0.0707,0.1178,63,138,110,""
"R3-04Z-B001-R195","R3-04-R195-000004","2026-04-22","workspace-head","easy",14520003,"timeout","attrition","",24,572.93,0.2299,0.1985,0.2013,63,95,39,""
"R3-04Z-B001-R195","R3-04-R195-000005","2026-04-22","workspace-head","easy",14520004,"victory","energyliberation","energyliberation",8,184.63,0.0477,0.0653,0.2052,93,110,132,""
"R3-04Z-B001-R195","R3-04-R195-000006","2026-04-22","workspace-head","easy",14520005,"victory","energyliberation","energyliberation",11,231.69,0.1312,0.1195,0.3467,83,103,93,""
"R3-04Z-B001-R195","R3-04-R195-000007","2026-04-22","workspace-head","easy",14520006,"timeout","attrition","",24,616.03,0.4789,0.2606,0.6431,12,59,0,""
"R3-04Z-B001-R195","R3-04-R195-000008","2026-04-22","workspace-head","easy",14520007,"timeout","attrition","",24,595.58,0.8629,0.2351,0.1045,20,99,0,""
"R3-04Z-B001-R195","R3-04-R195-000009","2026-04-22","workspace-head","easy",14520008,"victory","energyliberation","energyliberation",9,209.04,0.0504,0.1188,0.1034,88,125,129,""
"R3-04Z-B001-R195","R3-04-R195-000010","2026-04-22","workspace-head","easy",14520009,"timeout","attrition","",24,489.63,0.1938,0.0931,0.0442,63,133,67,""
"R3-04Z-B001-R195","R3-04-R195-000011","2026-04-22","workspace-head","easy",14520010,"victory","energyliberation","energyliberation",10,242.59,0.0251,0.1267,0.1379,53,94,139,""
"R3-04Z-B001-R195","R3-04-R195-000012","2026-04-22","workspace-head","easy",14520011,"victory","energyliberation","energyliberation",9,193.84,0.6814,0.1369,0.1217,67,126,15,""
"R3-04Z-B001-R195","R3-04-R195-000013","2026-04-22","workspace-head","easy",14520012,"timeout","attrition","",24,491.47,0.1991,0.1205,0.1782,72,99,67,""
"R3-04Z-B001-R195","R3-04-R195-000014","2026-04-22","workspace-head","easy",14520013,"defeat","military_collapse","",9,228.72,1.0532,0.0914,0.4971,0,135,0,""
"R3-04Z-B001-R195","R3-04-R195-000015","2026-04-22","workspace-head","easy",14520014,"victory","axisvictory","axisvictory",5,108.10,0.0725,0.0882,0.0324,72,121,111,""
"R3-04Z-B001-R195","R3-04-R195-000016","2026-04-22","workspace-head","easy",14520015,"timeout","attrition","",24,525.18,0.6939,0.0987,0.1528,43,129,0,""
"R3-04Z-B001-R195","R3-04-R195-000017","2026-04-22","workspace-head","easy",14520016,"victory","energyliberation","energyliberation",22,477.34,0.3742,0.4432,0.3445,83,27,36,""
"R3-04Z-B001-R195","R3-04-R195-000018","2026-04-22","workspace-head","easy",14520017,"victory","energyliberation","energyliberation",8,175.02,0.1543,0.0671,0.1352,85,127,94,""
"R3-04Z-B001-R195","R3-04-R195-000019","2026-04-22","workspace-head","easy",14520018,"victory","energyliberation","energyliberation",21,528.86,0.3460,0.1409,0.0653,51,134,18,""
"R3-04Z-B001-R195","R3-04-R195-000020","2026-04-22","workspace-head","easy",14520019,"victory","energyliberation","energyliberation",4,98.09,0.0000,0.0587,0.0500,80,136,150,""
"R3-04Z-B001-R195","R3-04-R195-000021","2026-04-22","workspace-head","easy",14520020,"victory","energyliberation","energyliberation",7,141.82,0.1958,0.1002,0.1752,45,103,90,""
"R3-04Z-B001-R195","R3-04-R195-000022","2026-04-22","workspace-head","easy",14520021,"victory","energyliberation","energyliberation",8,195.55,0.0608,0.0594,0.3057,63,120,123,""
"R3-04Z-B001-R195","R3-04-R195-000023","2026-04-22","workspace-head","easy",14520022,"victory","energyliberation","energyliberation",8,162.80,0.1547,0.0782,0.0644,73,123,93,""
"R3-04Z-B001-R195","R3-04-R195-000024","2026-04-22","workspace-head","easy",14520023,"victory","energyliberation","energyliberation",5,126.80,0.1140,0.0239,0.1438,88,174,109,""
"R3-04Z-B001-R195","R3-04-R195-000025","2026-04-22","workspace-head","easy",14520024,"victory","axisvictory","axisvictory",5,113.65,0.1264,0.0935,0.1407,40,101,102,""
"R3-04Z-B001-R195","R3-04-R195-000026","2026-04-22","workspace-head","easy",14520025,"victory","energyliberation","energyliberation",10,238.85,0.0731,0.0476,0.1293,51,131,114,""
"R3-04Z-B001-R195","R3-04-R195-000027","2026-04-22","workspace-head","easy",14520026,"victory","energyliberation","energyliberation",21,426.25,0.4445,0.0810,0.1603,52,138,35,""
"R3-04Z-B001-R195","R3-04-R195-000028","2026-04-22","workspace-head","easy",14520027,"timeout","attrition","",24,488.81,0.8537,0.1708,0.2887,21,122,0,""
"R3-04Z-B001-R195","R3-04-R195-000029","2026-04-22","workspace-head","easy",14520028,"victory","combined","combined",16,339.96,0.1432,0.2148,0.2269,71,98,99,""
"R3-04Z-B001-R195","R3-04-R195-000030","2026-04-22","workspace-head","easy",14520029,"timeout","attrition","",24,547.83,0.1150,0.2439,0.1031,58,61,96,""
"R3-04Z-B001-R195","R3-04-R195-000031","2026-04-22","workspace-head","easy",14520030,"victory","energyliberation","energyliberation",14,325.57,0.3354,0.0646,0.8469,47,155,61,""
"R3-04Z-B001-R195","R3-04-R195-000032","2026-04-22","workspace-head","easy",14520031,"timeout","attrition","",24,525.12,0.3231,0.1727,0.4504,56,125,38,""
"R3-04Z-B001-R195","R3-04-R195-000033","2026-04-22","workspace-head","easy",14520032,"victory","energyliberation","energyliberation",14,288.89,0.7736,0.2976,0.0035,69,49,0,""
"R3-04Z-B001-R195","R3-04-R195-000034","2026-04-22","workspace-head","easy",14520033,"victory","axisvictory","axisvictory",20,412.36,0.1923,0.0634,0.1038,73,167,74,""
"R3-04Z-B001-R195","R3-04-R195-000035","2026-04-22","workspace-head","easy",14520034,"victory","axisvictory","axisvictory",5,109.81,0.2598,0.0256,0.0639,48,131,76,""
"R3-04Z-B001-R195","R3-04-R195-000036","2026-04-22","workspace-head","easy",14520035,"victory","energyliberation","energyliberation",8,168.43,0.5293,0.0314,0.0209,46,144,32,""
"R3-04Z-B001-R195","R3-04-R195-000037","2026-04-22","workspace-head","easy",14520036,"victory","energyliberation","energyliberation",13,264.75,0.0918,0.0714,0.0652,68,128,110,""
"R3-04Z-B001-R195","R3-04-R195-000038","2026-04-22","workspace-head","easy",14520037,"victory","energyliberation","energyliberation",17,413.59,0.5995,0.1360,0.1887,68,99,3,""
"R3-04Z-B001-R195","R3-04-R195-000039","2026-04-22","workspace-head","easy",14520038,"victory","energyliberation","energyliberation",13,334.24,0.1665,0.1409,0.0937,36,119,82,""
"R3-04Z-B001-R195","R3-04-R195-000040","2026-04-22","workspace-head","easy",14520039,"victory","energyliberation","energyliberation",4,96.55,0.0294,0.0880,0.0833,75,139,140,""
