batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04AC-B001-R202","R3-04-R202-000001","2026-04-23","workspace-head","easy",14520000,"timeout","attrition","",24,505.69,0.8161,0.2067,0.7082,10,70,0,""
"R3-04AC-B001-R202","R3-04-R202-000002","2026-04-23","workspace-head","easy",14520001,"victory","energyliberation","energyliberation",15,352.83,0.1531,0.3627,0.1238,67,42,89,""
"R3-04AC-B001-R202","R3-04-R202-000003","2026-04-23","workspace-head","easy",14520002,"victory","axisvictory","axisvictory",21,507.29,0.2692,0.1220,0.2205,43,137,50,""
"R3-04AC-B001-R202","R3-04-R202-000004","2026-04-23","workspace-head","easy",14520003,"timeout","attrition","",24,607.00,0.2808,0.2564,0.2103,52,93,37,""
"R3-04AC-B001-R202","R3-04-R202-000005","2026-04-23","workspace-head","easy",14520004,"timeout","attrition","",24,622.24,0.3643,0.1635,0.3752,49,118,45,""
"R3-04AC-B001-R202","R3-04-R202-000006","2026-04-23","workspace-head","easy",14520005,"victory","energyliberation","energyliberation",12,249.90,0.1879,0.1127,0.4129,81,104,72,""
"R3-04AC-B001-R202","R3-04-R202-000007","2026-04-23","workspace-head","easy",14520006,"timeout","attrition","",24,616.03,0.4774,0.2373,0.6161,12,65,0,""
"R3-04AC-B001-R202","R3-04-R202-000008","2026-04-23","workspace-head","easy",14520007,"victory","energyliberation","energyliberation",13,319.26,0.5189,0.0898,0.0603,57,100,34,""
"R3-04AC-B001-R202","R3-04-R202-000009","2026-04-23","workspace-head","easy",14520008,"victory","energyliberation","energyliberation",11,277.63,0.3477,0.1336,0.0515,80,116,62,""
"R3-04AC-B001-R202","R3-04-R202-000010","2026-04-23","workspace-head","easy",14520009,"timeout","attrition","",24,489.63,0.2157,0.0717,0.0604,59,134,68,""
"R3-04AC-B001-R202","R3-04-R202-000011","2026-04-23","workspace-head","easy",14520010,"victory","energyliberation","energyliberation",11,253.16,0.0240,0.1076,0.1378,53,95,139,""
"R3-04AC-B001-R202","R3-04-R202-000012","2026-04-23","workspace-head","easy",14520011,"victory","energyliberation","energyliberation",9,193.84,0.6596,0.1328,0.1162,67,128,17,""
"R3-04AC-B001-R202","R3-04-R202-000013","2026-04-23","workspace-head","easy",14520012,"victory","axisvictory","axisvictory",15,340.74,0.3157,0.0870,0.0692,41,108,41,""
"R3-04AC-B001-R202","R3-04-R202-000014","2026-04-23","workspace-head","easy",14520013,"defeat","military_collapse","",10,243.40,1.1157,0.1117,0.3708,0,120,0,""
"R3-04AC-B001-R202","R3-04-R202-000015","2026-04-23","workspace-head","easy",14520014,"timeout","attrition","",24,499.04,0.3914,0.0930,0.0722,27,129,0,""
"R3-04AC-B001-R202","R3-04-R202-000016","2026-04-23","workspace-head","easy",14520015,"timeout","attrition","",24,525.18,0.3400,0.1137,0.1407,47,145,40,""
"R3-04AC-B001-R202","R3-04-R202-000017","2026-04-23","workspace-head","easy",14520016,"victory","energyliberation","energyliberation",16,333.01,0.3618,0.2051,0.2283,83,67,37,""
"R3-04AC-B001-R202","R3-04-R202-000018","2026-04-23","workspace-head","easy",14520017,"victory","energyliberation","energyliberation",13,266.17,0.1802,0.0894,0.2324,75,111,89,""
"R3-04AC-B001-R202","R3-04-R202-000019","2026-04-23","workspace-head","easy",14520018,"victory","energyliberation","energyliberation",22,483.96,0.5096,0.1194,0.0877,14,103,0,""
"R3-04AC-B001-R202","R3-04-R202-000020","2026-04-23","workspace-head","easy",14520019,"victory","energyliberation","energyliberation",14,355.17,0.0656,0.1364,0.0269,83,97,113,""
"R3-04AC-B001-R202","R3-04-R202-000021","2026-04-23","workspace-head","easy",14520020,"victory","energyliberation","energyliberation",7,177.80,0.1877,0.0765,0.1588,45,109,93,""
"R3-04AC-B001-R202","R3-04-R202-000022","2026-04-23","workspace-head","easy",14520021,"victory","energyliberation","energyliberation",8,195.55,0.1322,0.0498,0.1325,60,128,93,""
"R3-04AC-B001-R202","R3-04-R202-000023","2026-04-23","workspace-head","easy",14520022,"victory","axisvictory","axisvictory",10,203.10,0.1517,0.0670,0.1326,77,131,94,""
"R3-04AC-B001-R202","R3-04-R202-000024","2026-04-23","workspace-head","easy",14520023,"victory","energyliberation","energyliberation",5,126.80,0.1136,0.0208,0.1377,88,175,109,""
"R3-04AC-B001-R202","R3-04-R202-000025","2026-04-23","workspace-head","easy",14520024,"victory","axisvictory","axisvictory",5,113.65,0.1264,0.0873,0.1326,40,103,102,""
"R3-04AC-B001-R202","R3-04-R202-000026","2026-04-23","workspace-head","easy",14520025,"timeout","attrition","",24,516.30,0.3614,0.1644,0.1284,42,125,32,""
"R3-04AC-B001-R202","R3-04-R202-000027","2026-04-23","workspace-head","easy",14520026,"timeout","attrition","",24,578.93,0.6414,0.0872,0.3339,58,139,0,""
"R3-04AC-B001-R202","R3-04-R202-000028","2026-04-23","workspace-head","easy",14520027,"victory","energyliberation","energyliberation",8,201.95,0.4853,0.0535,0.1947,52,115,43,""
"R3-04AC-B001-R202","R3-04-R202-000029","2026-04-23","workspace-head","easy",14520028,"victory","axisvictory","axisvictory",12,256.27,0.2026,0.1552,0.1943,90,100,85,""
"R3-04AC-B001-R202","R3-04-R202-000030","2026-04-23","workspace-head","easy",14520029,"defeat","military_collapse","",13,286.01,0.1616,0.0502,0.1996,0,140,81,""
