batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04AD-B001-R205","R3-04-R205-000001","2026-04-23","workspace-head","easy",14520000,"timeout","attrition","",24,505.69,0.8052,0.1709,0.5146,17,77,0,""
"R3-04AD-B001-R205","R3-04-R205-000002","2026-04-23","workspace-head","easy",14520001,"timeout","attrition","",24,549.58,0.0878,0.2017,0.2519,44,70,115,""
"R3-04AD-B001-R205","R3-04-R205-000003","2026-04-23","workspace-head","easy",14520002,"victory","axisvictory","axisvictory",21,507.29,0.2777,0.1028,0.1934,48,148,49,""
"R3-04AD-B001-R205","R3-04-R205-000004","2026-04-23","workspace-head","easy",14520003,"timeout","attrition","",24,607.00,0.3339,0.1398,0.1954,47,99,30,""
"R3-04AD-B001-R205","R3-04-R205-000005","2026-04-23","workspace-head","easy",14520004,"victory","axisvictory","axisvictory",10,229.12,0.2295,0.0434,0.1070,70,115,63,""
"R3-04AD-B001-R205","R3-04-R205-000006","2026-04-23","workspace-head","easy",14520005,"victory","axisvictory","axisvictory",12,241.38,0.1549,0.1892,0.1195,83,66,89,""
"R3-04AD-B001-R205","R3-04-R205-000007","2026-04-23","workspace-head","easy",14520006,"timeout","attrition","",24,616.03,0.4799,0.2124,0.4923,8,76,0,""
"R3-04AD-B001-R205","R3-04-R205-000008","2026-04-23","workspace-head","easy",14520007,"timeout","attrition","",24,601.45,0.6839,0.0791,0.0655,52,102,0,""
"R3-04AD-B001-R205","R3-04-R205-000009","2026-04-23","workspace-head","easy",14520008,"victory","energyliberation","energyliberation",11,277.63,0.0582,0.1056,0.1775,83,149,127,""
"R3-04AD-B001-R205","R3-04-R205-000010","2026-04-23","workspace-head","easy",14520009,"timeout","attrition","",24,489.63,0.2047,0.0707,0.0555,62,134,74,""
"R3-04AD-B001-R205","R3-04-R205-000011","2026-04-23","workspace-head","easy",14520010,"victory","energyliberation","energyliberation",15,342.17,0.0421,0.1053,0.1083,55,100,127,""
"R3-04AD-B001-R205","R3-04-R205-000012","2026-04-23","workspace-head","easy",14520011,"timeout","attrition","",24,601.09,0.6026,0.0956,0.1532,65,127,2,""
"R3-04AD-B001-R205","R3-04-R205-000013","2026-04-23","workspace-head","easy",14520012,"timeout","attrition","",24,491.47,0.4334,0.0739,0.0356,32,128,33,""
