batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04AE-B001-R210","R3-04-R210-000001","2026-04-23","workspace-head","easy",14520000,"victory","energyliberation","energyliberation",21,544.07,0.8591,0.1813,0.4880,20,77,0,""
"R3-04AE-B001-R210","R3-04-R210-000002","2026-04-23","workspace-head","easy",14520001,"timeout","attrition","",24,549.58,0.1059,0.2867,0.5017,68,53,100,""
"R3-04AE-B001-R210","R3-04-R210-000003","2026-04-23","workspace-head","easy",14520002,"victory","axisvictory","axisvictory",21,507.29,0.2777,0.1028,0.1934,48,148,49,""
"R3-04AE-B001-R210","R3-04-R210-000004","2026-04-23","workspace-head","easy",14520003,"timeout","attrition","",24,607.00,0.2549,0.2415,0.1711,51,99,46,""
"R3-04AE-B001-R210","R3-04-R210-000005","2026-04-23","workspace-head","easy",14520004,"timeout","attrition","",24,615.39,0.4537,0.0913,0.1402,46,95,28,""
"R3-04AE-B001-R210","R3-04-R210-000006","2026-04-23","workspace-head","easy",14520005,"victory","energyliberation","energyliberation",12,249.90,0.1413,0.1035,0.3404,82,109,87,""
"R3-04AE-B001-R210","R3-04-R210-000007","2026-04-23","workspace-head","easy",14520006,"timeout","attrition","",24,616.03,0.5032,0.2132,0.4923,8,76,0,""
"R3-04AE-B001-R210","R3-04-R210-000008","2026-04-23","workspace-head","easy",14520007,"timeout","attrition","",24,601.45,0.6291,0.0993,0.0655,39,102,0,""
"R3-04AE-B001-R210","R3-04-R210-000009","2026-04-23","workspace-head","easy",14520008,"victory","energyliberation","energyliberation",11,277.63,0.0582,0.1056,0.1775,83,149,127,""
"R3-04AE-B001-R210","R3-04-R210-000010","2026-04-23","workspace-head","easy",14520009,"timeout","attrition","",24,489.63,0.2047,0.0707,0.0555,62,134,74,""
"R3-04AE-B001-R210","R3-04-R210-000011","2026-04-23","workspace-head","easy",14520010,"victory","energyliberation","energyliberation",11,253.16,0.0236,0.0914,0.1320,55,100,139,""
"R3-04AE-B001-R210","R3-04-R210-000012","2026-04-23","workspace-head","easy",14520011,"victory","energyliberation","energyliberation",10,252.61,0.6015,0.1391,0.1090,67,131,23,""
"R3-04AE-B001-R210","R3-04-R210-000013","2026-04-23","workspace-head","easy",14520012,"victory","axisvictory","axisvictory",15,340.74,0.3999,0.0826,0.0348,32,128,33,""
"R3-04AE-B001-R210","R3-04-R210-000014","2026-04-23","workspace-head","easy",14520013,"defeat","military_collapse","",7,165.17,0.6817,0.0732,0.0659,0,140,9,""
"R3-04AE-B001-R210","R3-04-R210-000015","2026-04-23","workspace-head","easy",14520014,"timeout","attrition","",24,499.04,0.3657,0.0935,0.0454,28,131,0,""
"R3-04AE-B001-R210","R3-04-R210-000016","2026-04-23","workspace-head","easy",14520015,"timeout","attrition","",24,525.18,0.2832,0.1155,0.1194,48,145,52,""
"R3-04AE-B001-R210","R3-04-R210-000017","2026-04-23","workspace-head","easy",14520016,"victory","energyliberation","energyliberation",22,504.19,0.3202,0.2945,0.1800,82,59,45,""
"R3-04AE-B001-R210","R3-04-R210-000018","2026-04-23","workspace-head","easy",14520017,"victory","energyliberation","energyliberation",13,266.17,0.1503,0.0815,0.2067,76,110,97,""
"R3-04AE-B001-R210","R3-04-R210-000019","2026-04-23","workspace-head","easy",14520018,"timeout","attrition","",24,574.03,0.1124,0.1198,0.0730,88,134,99,""
"R3-04AE-B001-R210","R3-04-R210-000020","2026-04-23","workspace-head","easy",14520019,"victory","energyliberation","energyliberation",14,355.17,0.0628,0.1061,0.0243,83,109,115,""
"R3-04AE-B001-R210","R3-04-R210-000021","2026-04-23","workspace-head","easy",14520020,"victory","energyliberation","energyliberation",7,177.80,0.1690,0.0690,0.1286,46,109,98,""
"R3-04AE-B001-R210","R3-04-R210-000022","2026-04-23","workspace-head","easy",14520021,"victory","energyliberation","energyliberation",8,195.55,0.1329,0.0464,0.1136,60,128,93,""
"R3-04AE-B001-R210","R3-04-R210-000023","2026-04-23","workspace-head","easy",14520022,"victory","axisvictory","axisvictory",10,203.10,0.1406,0.0593,0.1088,77,134,98,""
"R3-04AE-B001-R210","R3-04-R210-000024","2026-04-23","workspace-head","easy",14520023,"victory","energyliberation","energyliberation",6,150.58,0.0688,0.0634,0.1370,74,168,121,""
"R3-04AE-B001-R210","R3-04-R210-000025","2026-04-23","workspace-head","easy",14520024,"victory","axisvictory","axisvictory",5,113.65,0.1235,0.0723,0.1158,40,108,103,""
"R3-04AE-B001-R210","R3-04-R210-000026","2026-04-23","workspace-head","easy",14520025,"timeout","attrition","",24,579.09,0.3352,0.1477,0.1066,46,126,43,""
"R3-04AE-B001-R210","R3-04-R210-000027","2026-04-23","workspace-head","easy",14520026,"timeout","attrition","",24,578.93,0.5994,0.0864,0.2278,58,142,0,""
"R3-04AE-B001-R210","R3-04-R210-000028","2026-04-23","workspace-head","easy",14520027,"victory","energyliberation","energyliberation",12,256.60,0.0280,0.1199,0.3583,81,119,139,""
"R3-04AE-B001-R210","R3-04-R210-000029","2026-04-23","workspace-head","easy",14520028,"victory","axisvictory","axisvictory",10,246.91,0.1489,0.0891,0.1591,90,106,99,""
