batch_id,run_id,run_date,build_ref,difficulty,seed,end_type,end_reason,victory_path,end_turn,duration_minutes,goldleaf_cv,fireoil_cv,arms_cv,ashwill_min,fireoil_min,goldleaf_min,notes
"R3-04AG-B012-R288","R3-04-R288-000001","2026-04-23","workspace-head","easy",14520000,"timeout","attrition","",24,505.69,0.9781,0.1444,0.7008,36,91,0,""
"R3-04AG-B012-R288","R3-04-R288-000002","2026-04-23","workspace-head","easy",14520001,"victory","combined","combined",15,352.83,0.1624,0.3850,0.1235,79,39,75,""
"R3-04AG-B012-R288","R3-04-R288-000003","2026-04-23","workspace-head","easy",14520002,"victory","energyliberation","energyliberation",8,196.75,0.0643,0.0355,0.2303,52,145,106,""
"R3-04AG-B012-R288","R3-04-R288-000004","2026-04-23","workspace-head","easy",14520003,"timeout","attrition","",24,572.93,0.2301,0.2660,0.2092,63,95,39,""
"R3-04AG-B012-R288","R3-04-R288-000005","2026-04-23","workspace-head","easy",14520004,"victory","energyliberation","energyliberation",21,468.46,0.1828,0.1481,0.4609,80,118,76,""
"R3-04AG-B012-R288","R3-04-R288-000006","2026-04-23","workspace-head","easy",14520005,"victory","energyliberation","energyliberation",11,231.69,0.1312,0.1195,0.3467,83,103,93,""
"R3-04AG-B012-R288","R3-04-R288-000007","2026-04-23","workspace-head","easy",14520006,"timeout","attrition","",24,616.03,0.4789,0.2606,0.6431,12,59,0,""
"R3-04AG-B012-R288","R3-04-R288-000008","2026-04-23","workspace-head","easy",14520007,"timeout","attrition","",24,572.93,0.5885,0.2437,0.1014,57,99,20,""
"R3-04AG-B012-R288","R3-04-R288-000009","2026-04-23","workspace-head","easy",14520008,"victory","energyliberation","energyliberation",9,209.04,0.0504,0.1188,0.1034,88,125,129,""
"R3-04AG-B012-R288","R3-04-R288-000010","2026-04-23","workspace-head","easy",14520009,"timeout","attrition","",24,489.63,0.2062,0.0771,0.0433,54,133,67,""
"R3-04AG-B012-R288","R3-04-R288-000011","2026-04-23","workspace-head","easy",14520010,"victory","energyliberation","energyliberation",10,242.59,0.0251,0.1267,0.1379,53,94,139,""
"R3-04AG-B012-R288","R3-04-R288-000012","2026-04-23","workspace-head","easy",14520011,"victory","energyliberation","energyliberation",9,193.84,0.6814,0.1369,0.1217,67,126,15,""
"R3-04AG-B012-R288","R3-04-R288-000013","2026-04-23","workspace-head","easy",14520012,"timeout","attrition","",24,491.47,0.2030,0.0888,0.1873,72,99,67,""
"R3-04AG-B012-R288","R3-04-R288-000014","2026-04-23","workspace-head","easy",14520013,"defeat","military_collapse","",10,243.40,1.1223,0.1181,0.4079,0,118,0,""
"R3-04AG-B012-R288","R3-04-R288-000015","2026-04-23","workspace-head","easy",14520014,"timeout","attrition","",24,589.91,0.1644,0.1161,0.0744,54,129,81,""
"R3-04AG-B012-R288","R3-04-R288-000016","2026-04-23","workspace-head","easy",14520015,"timeout","attrition","",24,525.18,0.6939,0.0987,0.1528,43,129,0,""
"R3-04AG-B012-R288","R3-04-R288-000017","2026-04-23","workspace-head","easy",14520016,"victory","energyliberation","energyliberation",22,477.34,0.3742,0.4432,0.3445,83,27,36,""
"R3-04AG-B012-R288","R3-04-R288-000018","2026-04-23","workspace-head","easy",14520017,"victory","energyliberation","energyliberation",17,419.23,0.1474,0.0878,0.1048,73,99,95,""
