index,turn,phase,step_ms,managed_mb,allocated_mb,gc0,gc1,gc2,save_load_executed,save_success,load_success,save_load_ms
1,2,1,2.693,8.61,110.01,143,143,143,0,0,0,0.000
2,3,2,0.125,8.61,110.01,143,143,143,0,0,0,0.000
3,4,3,0.011,8.61,110.01,143,143,143,0,0,0,0.000
4,5,4,0.012,8.61,110.01,143,143,143,0,0,0,0.000
5,6,5,0.011,8.61,110.01,143,143,143,0,0,0,0.000
6,7,0,0.010,8.61,110.01,143,143,143,0,0,0,0.000
7,8,1,0.012,8.61,110.01,143,143,143,0,0,0,0.000
8,9,2,0.011,8.61,110.01,143,143,143,0,0,0,0.000
9,10,3,0.011,8.61,110.01,143,143,143,0,0,0,0.000
10,11,4,0.011,8.61,110.01,143,143,143,1,1,1,24.215
11,12,5,0.030,8.73,110.04,143,143,143,0,0,0,0.000
12,13,0,0.015,8.73,110.04,143,143,143,0,0,0,0.000
13,14,1,0.014,8.73,110.04,143,143,143,0,0,0,0.000
14,15,2,0.014,8.73,110.04,143,143,143,0,0,0,0.000
15,16,3,0.014,8.73,110.04,143,143,143,0,0,0,0.000
16,17,4,0.017,8.74,110.04,143,143,143,0,0,0,0.000
17,18,5,0.014,8.74,110.04,143,143,143,0,0,0,0.000
18,19,0,0.014,8.74,110.04,143,143,143,0,0,0,0.000
19,20,1,0.014,8.74,110.04,143,143,143,0,0,0,0.000
20,21,2,0.014,8.74,110.04,143,143,143,1,1,1,15.845
21,22,3,0.022,8.86,110.04,143,143,143,0,0,0,0.000
22,23,4,0.012,8.86,110.04,143,143,143,0,0,0,0.000
23,24,5,0.012,8.86,110.04,143,143,143,0,0,0,0.000
24,1,0,0.011,8.86,110.04,143,143,143,0,0,0,0.000
25,2,1,0.012,8.87,110.04,143,143,143,0,0,0,0.000
26,3,2,0.011,8.87,110.04,143,143,143,0,0,0,0.000
27,4,3,0.011,8.87,110.04,143,143,143,0,0,0,0.000
28,5,4,0.012,8.87,110.04,143,143,143,0,0,0,0.000
29,6,5,0.011,8.87,110.04,143,143,143,0,0,0,0.000
30,7,0,0.011,8.87,110.04,143,143,143,1,1,1,12.747
31,8,1,0.021,8.99,110.04,143,143,143,0,0,0,0.000
32,9,2,0.012,8.99,110.04,143,143,143,0,0,0,0.000
33,10,3,0.013,8.99,110.04,143,143,143,0,0,0,0.000
34,11,4,0.012,9.00,110.04,143,143,143,0,0,0,0.000
35,12,5,0.012,9.00,110.04,143,143,143,0,0,0,0.000
36,13,0,0.012,9.00,110.04,143,143,143,0,0,0,0.000
37,14,1,0.011,9.00,110.04,143,143,143,0,0,0,0.000
38,15,2,0.011,9.00,110.04,143,143,143,0,0,0,0.000
39,16,3,0.012,9.00,110.04,143,143,143,0,0,0,0.000
40,17,4,0.011,9.00,110.04,143,143,143,1,1,1,20.471
41,18,5,0.032,8.74,110.05,144,144,144,0,0,0,0.000
42,19,0,0.019,8.74,110.05,144,144,144,0,0,0,0.000
43,20,1,0.019,8.74,110.05,144,144,144,0,0,0,0.000
44,21,2,0.018,8.74,110.05,144,144,144,0,0,0,0.000
45,22,3,0.018,8.74,110.05,144,144,144,0,0,0,0.000
46,23,4,0.018,8.74,110.05,144,144,144,0,0,0,0.000
47,24,5,0.018,8.74,110.05,144,144,144,0,0,0,0.000
48,1,0,0.018,8.74,110.05,144,144,144,0,0,0,0.000
49,2,1,0.018,8.74,110.05,144,144,144,0,0,0,0.000
50,3,2,0.021,8.74,110.05,144,144,144,1,1,1,19.505
51,4,3,0.030,8.86,110.05,144,144,144,0,0,0,0.000
52,5,4,0.018,8.86,110.05,144,144,144,0,0,0,0.000
53,6,5,0.017,8.86,110.05,144,144,144,0,0,0,0.000
54,7,0,0.017,8.86,110.05,144,144,144,0,0,0,0.000
55,8,1,0.019,8.86,110.05,144,144,144,0,0,0,0.000
56,9,2,0.017,8.86,110.05,144,144,144,0,0,0,0.000
57,10,3,0.018,8.86,110.05,144,144,144,0,0,0,0.000
58,11,4,0.016,8.86,110.05,144,144,144,0,0,0,0.000
59,12,5,0.017,8.86,110.05,144,144,144,0,0,0,0.000
60,13,0,0.017,8.86,110.05,144,144,144,1,1,1,18.120
61,14,1,0.031,8.98,110.05,144,144,144,0,0,0,0.000
62,15,2,0.017,8.98,110.05,144,144,144,0,0,0,0.000
63,16,3,0.016,8.98,110.05,144,144,144,0,0,0,0.000
64,17,4,0.016,8.98,110.05,144,144,144,0,0,0,0.000
65,18,5,0.020,8.98,110.05,144,144,144,0,0,0,0.000
66,19,0,0.016,8.98,110.05,144,144,144,0,0,0,0.000
67,20,1,0.017,8.98,110.05,144,144,144,0,0,0,0.000
68,21,2,0.016,8.98,110.05,144,144,144,0,0,0,0.000
69,22,3,0.016,8.98,110.05,144,144,144,0,0,0,0.000
70,23,4,0.016,8.98,110.05,144,144,144,1,1,1,16.763
71,24,5,0.034,9.10,110.06,144,144,144,0,0,0,0.000
72,1,0,0.018,9.10,110.06,144,144,144,0,0,0,0.000
73,2,1,0.022,9.11,110.06,144,144,144,0,0,0,0.000
74,3,2,0.017,9.11,110.06,144,144,144,0,0,0,0.000
75,4,3,0.017,9.11,110.06,144,144,144,0,0,0,0.000
76,5,4,0.017,9.11,110.06,144,144,144,0,0,0,0.000
77,6,5,0.017,9.11,110.06,144,144,144,0,0,0,0.000
78,7,0,0.017,9.11,110.06,144,144,144,0,0,0,0.000
79,8,1,0.017,9.11,110.06,144,144,144,0,0,0,0.000
80,9,2,0.018,9.11,110.06,144,144,144,1,1,1,16.476
81,10,3,0.032,9.23,110.06,144,144,144,0,0,0,0.000
82,11,4,0.020,9.23,110.06,144,144,144,0,0,0,0.000
83,12,5,0.018,9.23,110.06,144,144,144,0,0,0,0.000
84,13,0,0.018,9.23,110.06,144,144,144,0,0,0,0.000
85,14,1,0.018,9.23,110.06,144,144,144,0,0,0,0.000
86,15,2,0.018,9.23,110.06,144,144,144,0,0,0,0.000
87,16,3,0.018,9.23,110.06,144,144,144,0,0,0,0.000
88,17,4,0.020,9.23,110.06,144,144,144,0,0,0,0.000
89,18,5,0.017,9.23,110.06,144,144,144,0,0,0,0.000
90,19,0,0.018,9.23,110.06,144,144,144,1,1,1,19.011
91,20,1,0.039,9.36,110.06,144,144,144,0,0,0,0.000
92,21,2,0.021,9.36,110.06,144,144,144,0,0,0,0.000
93,22,3,0.020,9.36,110.06,144,144,144,0,0,0,0.000
94,23,4,0.023,9.36,110.06,144,144,144,0,0,0,0.000
95,24,5,0.021,9.36,110.06,144,144,144,0,0,0,0.000
96,1,0,0.020,9.36,110.06,144,144,144,0,0,0,0.000
97,2,1,0.020,9.36,110.06,144,144,144,0,0,0,0.000
98,3,2,0.020,9.36,110.06,144,144,144,0,0,0,0.000
99,4,3,0.022,9.36,110.06,144,144,144,0,0,0,0.000
